circle_id	length	cluster_id
10_68468123_68470163	367	4
11_103303093_103323990	246	1
1_117402186_117405645	353	4
1_117402186_117414831	472	2
12_116230533_116237705	238	1
12_1236769_1290012	429	2
12_69589485_69593613	485	2
16_31090775_31091342	489	2
17_47663089_47668410	476	3
1_8655973_8656441	469	4
22_20933779_20934244	466	4
2_222220140_222232283	471	4
22_41808875_41813822	241	3
22_45689712_45740538	279	1
22_45729425_45740538	445	4
22_50372020_50394135	374	4
3_142736379_142748460	460	4
3_158122103_158123991	322	1
3_56660731_56673725	314	3
4_51863437_51877854	318	3
5_180261684_180280608	497	4
6_79042843_79060818	411	4
7_129014979_129018157	432	2
7_152309966_152315338	460	2
7_155672867_155680908	445	2
8_18765449_18804898	466	2
8_47279862_47294030	455	4
9_100498765_100516771	364	3
9_135881633_135883078	425	4
9_20819796_20823115	465	3
X_131743096_131794466	496	1
