Transcript	circles	same_start	same_end	overlapping	within
NM_004741	10:102157019-102158214	.	.	.	.
NM_001018088	15:61936597-61981478,15:62007308-62013992	.	.	.	.
NM_001008781	11:92352096-92355404	.	.	.	.
NM_001142295	13:36326575-36335832	.	.	.	.
NM_001142294	13:36326575-36335832	.	.	.	.
NM_001290307	5:138810038-138827718	.	.	.	.
NM_001278268	18:62348168-62349937	.	.	.	.
NM_001290309	5:138810038-138827718	.	.	.	.
NR_027946	12:1027748-1028572,12:1167903-1190052,12:1180540-1190052,12:1236769-1290012,12:1236769-1319288,12:1236769-1371977	12:1236769-1319288|12:1236769-1371977|12:1236769-1290012,	12:1180540-1190052|12:1167903-1190052,	.	.
NM_001469	22:41636113-41637791	.	.	.	.
NM_153831	8:140846260-140890769	.	.	.	.
NM_000489	X:77557451-77595785,X:77633207-77664778	.	.	.	.
NM_001272075	16:84740309-84745673	.	.	.	.
NM_001300947	12:69251129-69262562	.	.	.	.
NM_001001556	15:49225205-49292537	.	.	.	.
NM_030613	5:178885614-178931326	.	.	.	.
NM_012215	10:101792839-101810314	.	.	.	.
NM_012216	X:107840670-107854704	.	.	.	.
NM_012181	19:18537601-18538433	.	.	.	.
NR_130169	10:49879673-49935142,10:49915917-49935142	.	10:49915917-49935142|10:49879673-49935142,	.	.
NR_130168	10:49879673-49935142,10:49915917-49935142	.	10:49915917-49935142|10:49879673-49935142,	.	.
NM_001083330	20:18297985-18306393	.	.	.	.
NM_001146111	1:66946150-66963160	.	.	.	.
NM_181508	11:18291442-18292976	.	.	.	.
NM_001146113	1:66946150-66963160	.	.	.	.
NM_181507	11:18291442-18292976	.	.	.	.
NM_144732	19:41268223-41281275	.	.	.	.
NM_001253800	19:53521856-53576853	.	.	.	.
NM_001142296	13:36326575-36335832	.	.	.	.
NM_145061	13:21167988-21168399	.	.	.	.
NM_145062	6:116645714-116660846	.	.	.	.
NM_144643	4:128936655-129003876	.	.	.	.
NM_015659	16:11841695-11847806	.	.	.	.
NM_017934	6:79015082-79026164,6:79042843-79060818	.	.	.	.
NM_000937	17:7499039-7499491	.	.	.	.
NM_007216	11:18291442-18292976	.	.	.	.
NM_014497	2:71355719-71380565,2:71396141-71418639	.	.	.	.
NM_003910	7:99418785-99420149	.	.	.	.
NM_015226	16:11020193-11061022	.	.	.	.
NM_003915	20:35653528-35659014	.	.	.	.
NM_001080475	2:207976651-207977586	.	.	.	.
NM_001282866	10:45457785-45464327	.	.	.	.
NM_001282861	1:155853276-155853806	.	.	.	.
NM_001282860	1:155853276-155853806	.	.	.	.
NM_003590	2:224495832-224514772,2:224535528-224557856	.	.	.	.
NM_001286724	9:93471141-93498886,9:93527155-93550691	.	.	.	.
NM_001286722	9:93471141-93498886,9:93527155-93550691	.	.	.	.
NM_001286723	9:93471141-93498886,9:93527155-93550691	.	.	.	.
NM_001292006	4:87195324-87195690	.	.	.	.
NM_001292007	4:87195324-87195690	.	.	.	.
NM_001292003	4:87195324-87195690	.	.	.	.
NM_002958	3:134175609-134195182	.	.	.	.
NM_002956	12:122340753-122341697	.	.	.	.
NM_001184797	X:155506898-155537118	.	.	.	.
NM_024617	9:86305192-86310017	.	.	.	.
NM_024610	3:122755260-122777906	.	.	.	.
NR_074088	10:115120185-115165645,10:115120185-115171292	10:115120185-115165645|10:115120185-115171292,	.	.	.
NM_001127320	1:154251041-154251653	.	.	.	.
NM_001172712	2:173954873-173956232	.	.	.	.
NM_001291999	3:136945583-136946295	.	.	.	.
NM_002887	5:168488602-168494650	.	.	.	.
NM_001202468	10:179994-221356	.	.	.	.
NM_001271287	2:27598067-27608039	.	.	.	.
NM_001271286	2:27598067-27608039	.	.	.	.
NM_001271289	2:27598067-27608039	.	.	.	.
NM_001271288	2:27598067-27608039	.	.	.	.
NM_001202465	10:179994-221356	.	.	.	.
NM_001202464	10:179994-221356	.	.	.	.
NM_001202467	10:179994-221356	.	.	.	.
NM_001202466	10:179994-221356	.	.	.	.
NM_001243403	16:11020193-11061022	.	.	.	.
NM_002310	5:38523419-38530666	.	.	.	.
NM_212479	10:179994-221356	.	.	.	.
NM_001003789	22:50768760-50782351	.	.	.	.
NM_023019	2:74361413-74378245	.	.	.	.
NM_003574	18:9931810-9937066,18:9931810-9950568	18:9931810-9937066|18:9931810-9950568,	.	.	.
NR_073518	15:84680713-84691644	.	.	.	.
NM_032434	2:27598067-27608039	.	.	.	.
NM_001130919	22:50768760-50782351	.	.	.	.
NM_001271919	15:84680713-84691644	.	.	.	.
NM_001271918	15:84680713-84691644	.	.	.	.
NR_110332	2:189791790-189818180	.	.	.	.
NM_018238	7:141636960-141649333	.	.	.	.
NM_001185074	9:86305192-86310017	.	.	.	.
NM_005207	22:20933779-20934244	.	.	.	.
NM_152495	1:224730462-224739747	.	.	.	.
NM_152490	1:235470850-235494828,1:235480054-235494828	.	1:235480054-235494828|1:235470850-235494828,	.	.
NM_032186	1:90916640-90941309	.	.	.	.
NM_001146110	1:66946150-66963160	.	.	.	.
NM_021908	7:117099762-117131960	.	.	.	.
NM_001004065	9:110136127-110138539	.	.	.	.
NM_001300769	1:219193130-219218712	.	.	.	.
NM_002793	6:170537234-170549113	.	.	.	.
NM_001145354	7:131387120-131399433	.	.	.	.
NM_018121	10:100923975-100926019	.	.	.	.
NM_001169124	X:148661908-148662768	.	.	.	.
NM_001634	6:110887505-110890356	.	.	.	.
NM_018051	7:158869855-158876691	.	.	.	.
NR_037188	20:35653528-35659014	.	.	.	.
NR_110535	17:39724726-39725853	.	.	.	.
NM_013446	7:140459007-140472011	.	.	.	.
NM_014826	1:227139576-227147559,1:227193786-227317246	.	.	.	.
NM_014823	12:827042-830160,12:859245-862270	.	.	.	.
NM_032295	7:140334634-140337349	.	.	.	.
NM_032292	1:155853276-155853806	.	.	.	.
NM_032290	5:94643273-94654752	.	.	.	.
NM_001076786	11:32927157-32935435	.	.	.	.
NM_001301829	13:95161189-95170628	.	.	.	.
NM_022768	1:110345539-110372346	.	.	.	.
NM_022763	3:172247533-172251541	.	.	.	.
NM_001201547	1:110345539-110372346	.	.	.	.
NM_001278389	12:46229153-46243314	.	.	.	.
NM_001278388	12:46229153-46243314	.	.	.	.
NM_001201546	1:110345539-110372346	.	.	.	.
NM_015171	16:28101458-28101945	.	.	.	.
NM_183004	14:103336677-103339803	.	.	.	.
NM_001278387	12:46229153-46243314	.	.	.	.
