exon	relative_pos_in_circle	relative_pos_in_exon	coverage
2	1	1	6
2	2	2	6
2	3	3	6
2	4	4	6
2	5	5	6
2	6	6	6
2	7	7	6
2	8	8	6
2	9	9	6
2	10	10	6
2	11	11	6
2	12	12	6
2	13	13	6
2	14	14	6
2	15	15	6
2	16	16	6
2	17	17	6
2	18	18	6
2	19	19	6
2	20	20	6
2	21	21	6
2	22	22	6
2	23	23	6
2	24	24	6
2	25	25	6
2	26	26	6
2	27	27	6
2	28	28	6
2	29	29	6
2	30	30	6
2	31	31	6
2	32	32	6
2	33	33	6
2	34	34	6
2	35	35	5
2	36	36	5
2	37	37	5
2	38	38	5
2	39	39	5
2	40	40	5
2	41	41	5
2	42	42	5
2	43	43	5
2	44	44	5
2	45	45	5
2	46	46	5
2	47	47	5
2	48	48	5
2	49	49	5
2	50	50	5
2	51	51	5
2	52	52	5
2	53	53	5
2	54	54	4
2	55	55	4
2	56	56	4
2	57	57	4
2	58	58	4
2	59	59	4
2	60	60	4
2	61	61	4
2	62	62	4
2	63	63	4
2	64	64	4
2	65	65	4
2	66	66	4
2	67	67	4
2	68	68	4
2	69	69	4
2	70	70	4
2	71	71	4
2	72	72	4
2	73	73	4
2	74	74	4
2	75	75	4
2	76	76	4
2	77	77	4
2	78	78	4
2	79	79	4
2	80	80	4
2	81	81	4
2	82	82	4
2	83	83	3
2	84	84	3
2	85	85	3
2	86	86	3
2	87	87	3
2	88	88	3
2	89	89	2
2	90	90	2
2	91	91	2
2	92	92	2
2	93	93	2
2	94	94	2
2	95	95	2
2	96	96	2
2	97	97	2
2	98	98	2
2	99	99	2
2	100	100	1
2	101	101	1
2	102	102	1
2	103	103	1
2	104	104	1
2	105	105	1
2	106	106	1
2	107	107	1
2	108	108	1
2	109	109	1
2	110	110	1
2	111	111	1
2	112	112	1
2	113	113	1
2	114	114	1
2	115	115	1
2	116	116	1
2	117	117	1
2	118	118	1
2	119	119	1
2	120	120	1
2	121	121	1
2	122	122	1
2	123	123	1
2	124	124	1
2	125	125	1
2	126	126	1
2	127	127	1
2	128	128	1
2	129	129	1
2	130	130	1
2	131	131	1
2	132	132	1
2	133	133	1
2	134	134	1
2	135	135	1
2	136	136	1
2	137	137	1
2	138	138	1
2	139	139	1
2	140	140	1
2	141	141	1
2	142	142	1
2	143	143	1
2	144	144	1
2	145	145	1
2	146	146	1
2	147	147	1
2	148	148	1
2	149	149	1
2	150	150	1
2	151	151	1
2	152	152	1
2	153	153	1
2	154	154	1
2	155	155	1
2	156	156	1
2	157	157	1
2	158	158	1
2	159	159	1
2	160	160	1
2	161	161	1
2	162	162	1
2	163	163	1
2	164	164	1
2	165	165	1
2	166	166	1
2	167	167	1
2	168	168	1
2	169	169	1
2	170	170	1
2	171	171	1
2	172	172	1
2	173	173	1
2	174	174	1
2	175	175	1
2	176	176	1
2	177	177	1
2	178	178	1
2	179	179	1
2	180	180	1
2	181	181	1
2	182	182	1
2	183	183	1
2	184	184	1
2	185	185	1
2	186	186	1
2	187	187	1
2	188	188	1
2	189	189	1
2	190	190	1
2	191	191	1
2	192	192	1
2	193	193	1
2	194	194	1
2	195	195	1
2	196	196	1
2	197	197	1
2	198	198	1
2	199	199	1
2	200	200	1
2	201	201	0
2	202	202	0
2	203	203	0
2	204	204	0
2	205	205	0
2	206	206	0
2	207	207	0
2	208	208	0
2	209	209	0
2	210	210	0
2	211	211	0
2	212	212	0
2	213	213	0
2	214	214	0
2	215	215	0
2	216	216	0
2	217	217	0
2	218	218	0
2	219	219	0
2	220	220	0
2	221	221	0
2	222	222	0
2	223	223	0
2	224	224	0
2	225	225	0
2	226	226	0
2	227	227	0
2	228	228	0
2	229	229	0
2	230	230	0
2	231	231	0
2	232	232	0
2	233	233	0
2	234	234	0
2	235	235	0
2	236	236	0
2	237	237	0
2	238	238	0
2	239	239	0
2	240	240	0
2	241	241	0
2	242	242	0
