Transcript	circles	same_start	same_end	overlapping	within
NM_004741	10:102157019-102158214	.	.	.	.
NM_001008781	11:92352096-92355404	.	.	.	.
NM_001282983	2:241403828-241418109	.	.	.	.
NM_001290307	5:138810038-138827718	.	.	.	.
NM_001278268	18:62348168-62349937	.	.	.	.
NM_001290309	5:138810038-138827718	.	.	.	.
NR_027946	12:1027748-1028572,12:1180540-1190052,12:1180561-1190052,12:1236769-1290012,12:1236769-1319288,12:1236769-1371977,12:1236769-1408247	12:1236769-1319288|12:1236769-1408247|12:1236769-1371977|12:1236769-1290012,	12:1180540-1190052|12:1180561-1190052,	.	.
NM_001277077	5:79439010-79457018	.	.	.	.
NM_153831	8:140846260-140890769	.	.	.	.
NM_021738	10:29550597-29569312	.	.	.	.
NM_000489	X:77633207-77664778,X:77681520-77685006	.	.	.	.
NM_001272075	16:84740309-84745673	.	.	.	.
NM_001300947	12:69251129-69262562	.	.	.	.
NM_001280545	3:129476315-129478218	.	.	.	.
NM_001012969	15:43335696-43349045	.	.	.	.
NM_001001555	7:50703821-50732368	.	.	.	.
NM_001280546	3:129476315-129478218	.	.	.	.
NM_030613	5:178885614-178931326	.	.	.	.
NM_012215	10:101792839-101807901,10:101792839-101810314	10:101792839-101810314|10:101792839-101807901,	.	.	.
NM_012216	X:107840670-107854704	.	.	.	.
NM_001990	1:27988535-28004419	.	.	.	.
NM_178234	8:15650697-15673836,8:15730666-15748465	.	.	.	.
NM_181508	11:18291442-18292976	.	.	.	.
NM_206824	16:31090775-31091342	.	.	.	.
NM_181507	11:18291442-18292976	.	.	.	.
NM_173082	6:145888020-145894977	.	.	.	.
NM_001253800	19:53521856-53576853	.	.	.	.
NM_181501	5:52849365-52865817	.	.	.	.
NM_145061	13:21167988-21168399	.	.	.	.
NM_145062	6:116645714-116660846	.	.	.	.
NM_017934	6:79042843-79060818	.	.	.	.
NM_000937	17:7499039-7499491	.	.	.	.
NM_007216	11:18291442-18292976	.	.	.	.
NM_015555	6:57141302-57161152	.	.	.	.
NM_015554	15:69210316-69261329,15:69255794-69261329	.	15:69210316-69261329|15:69255794-69261329,	.	.
NM_003915	20:35653528-35659014	.	.	.	.
NM_001289409	2:189791790-189818180	.	.	.	.
NM_001282866	10:45457785-45464327	.	.	.	.
NM_001282861	1:155853276-155853806	.	.	.	.
NM_001282860	1:155853276-155853806	.	.	.	.
NM_003596	7:66240325-66286709	.	.	.	.
NM_003590	2:224495832-224514772,2:224535528-224557856	.	.	.	.
NM_024721	8:76704043-76708048	.	.	.	.
NM_001164664	5:66605156-66788794	.	.	.	.
NM_001286724	9:93471141-93498886	.	.	.	.
NM_001242599	20:35707120-35725155,20:35713019-35725155,20:35714185-35725155,20:35721740-35725155	.	20:35714185-35725155|20:35713019-35725155|20:35721740-35725155|20:35707120-35725155,	.	.
NM_001286723	9:93471141-93498886	.	.	.	.
NM_001292006	4:87183203-87195690	.	.	.	.
NM_001292007	4:87183203-87195690	.	.	.	.
NM_001292003	4:87183203-87195690	.	.	.	.
NM_002958	3:134175609-134195182	.	.	.	.
NM_002956	12:122340753-122341697	.	.	.	.
NM_003174	10:29550597-29569312	.	.	.	.
NM_024617	9:86305192-86310017	.	.	.	.
NR_074088	10:115120185-115165645,10:115120185-115171292	10:115120185-115165645|10:115120185-115171292,	.	.	.
NM_001287527	2:29121374-29145367	.	.	.	.
NM_002887	5:168488602-168494650	.	.	.	.
NM_001287528	2:29121374-29145367	.	.	.	.
NM_001202468	10:179994-221356	.	.	.	.
NR_073201	9:19286769-19305527	.	.	.	.
NM_014643	18:76378855-76380303	.	.	.	.
NM_001202465	10:179994-221356	.	.	.	.
NM_001202464	10:179994-221356	.	.	.	.
NM_001202467	10:179994-221356	.	.	.	.
NM_001202466	10:179994-221356	.	.	.	.
NM_001243403	16:10969161-10982991,16:11020193-11061022	.	.	.	.
NM_212479	10:179994-221356	.	.	.	.
NM_001010895	9:95897849-95928864	.	.	.	.
NR_130152	1:77949155-77967098	.	.	.	.
NM_178509	17:55072900-55081183	.	.	.	.
NM_032435	1:233346442-233362293	.	.	.	.
NM_015601	10:67988663-68014186	.	.	.	.
NR_037506	10:122392303-122424959	.	.	.	.
NR_110332	2:189791790-189818180	.	.	.	.
NM_018238	7:141636960-141649333	.	.	.	.
NM_001185074	9:86305192-86310017	.	.	.	.
NM_005207	22:20933779-20934244	.	.	.	.
NM_152495	1:224730462-224739747	.	.	.	.
NM_152490	1:235480054-235494828	.	.	.	.
NM_032186	1:90916640-90941309,1:90916640-90982370,1:90937485-90982370	1:90916640-90982370|1:90916640-90941309,	1:90937485-90982370|1:90916640-90982370,	1:90937485-90982370|1:90916640-90941309,	.
NM_001166133	4:78237510-78252551	.	.	.	.
NM_001300769	1:219193082-219211752,1:219193082-219218712,1:219193130-219218712	1:219193082-219218712|1:219193082-219211752,	1:219193082-219218712|1:219193130-219218712,	1:219193082-219211752|1:219193130-219218712,	.
NM_001270530	15:59030804-59076215	.	.	.	.
NM_002793	6:170537234-170549113	.	.	.	.
NM_001145354	7:131375424-131399433,7:131387120-131399433	.	7:131375424-131399433|7:131387120-131399433,	.	.
NM_018121	10:100923975-100926019	.	.	.	.
NM_001169124	X:148661908-148662768	.	.	.	.
NM_001169125	X:148661908-148662768	.	.	.	.
NM_001163788	9:112262435-112297916	.	.	.	.
NM_001169122	X:148661908-148662768	.	.	.	.
NR_033710	1:3740233-3746181	.	.	.	.
NR_033711	1:3740233-3746181	.	.	.	.
NR_033712	1:3740233-3746181	.	.	.	.
NR_037188	20:35653528-35659014	.	.	.	.
NM_014826	1:227139576-227147559,1:227193786-227317246	.	.	.	.
NM_014823	12:827042-830160	.	.	.	.
NM_032295	7:140334634-140337349	.	.	.	.
NM_001172774	19:32432716-32458509	.	.	.	.
NM_032292	1:155853276-155853806	.	.	.	.
NM_032290	5:94643273-94654752	.	.	.	.
NM_001076786	11:32927157-32935435	.	.	.	.
NM_001001550	7:50703821-50732368	.	.	.	.
NM_022768	1:110345539-110372346	.	.	.	.
NM_001201547	1:110345539-110372346	.	.	.	.
NM_001278389	12:46229153-46243314	.	.	.	.
NM_001278388	12:46229153-46243314	.	.	.	.
NM_001201546	1:110345539-110372346	.	.	.	.
NM_001278387	12:46229153-46243314	.	.	.	.
NM_001040108	14:75046376-75049718	.	.	.	.
NM_014915	10:27022558-27048979,10:27037186-27048979	.	10:27037186-27048979|10:27022558-27048979,	.	.
NM_014916	7:98190728-98194572	.	.	.	.
NM_014918	15:101235082-101235577	.	.	.	.
NR_107058	16:28723164-28735582	.	.	.	.
NM_001042692	2:63404048-63439871,2:63433745-63439871	.	2:63404048-63439871|2:63433745-63439871,	.	.
NM_001283008	20:18297985-18306393	.	.	.	.
NM_205846	5:145764931-145826200,5:145796442-145826200	.	5:145764931-145826200|5:145796442-145826200,	.	.
NM_206866	21:29305204-29329693,21:29321221-29329693,21:29326059-29329693	.	21:29326059-29329693|21:29305204-29329693|21:29321221-29329693,	.	.
NM_001455	6:108663455-108664889	.	.	.	.
NM_001328	4:1225360-1241519	.	.	.	.
NM_017613	21:33579350-33586181	.	.	.	.
NM_017610	15:59030804-59076215	.	.	.	.
NM_001012957	1:231795242-231818517	.	.	.	.
NM_001201477	16:47109483-47129364,16:47109483-47132025	16:47109483-47132025|16:47109483-47129364,	.	.	.
NM_001001549	7:50703821-50732368	.	.	.	.
NM_012201	16:74451055-74459789	.	.	.	.
NM_018390	X:284167-299392	.	.	.	.
NM_001012959	1:231795242-231818517	.	.	.	.
NM_199190	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_138794	1:219193082-219211752,1:219193082-219218712,1:219193130-219218712	1:219193082-219218712|1:219193082-219211752,	1:219193082-219218712|1:219193130-219218712,	1:219193082-219211752|1:219193130-219218712,	.
NM_001283004	20:18297985-18306393	.	.	.	.
NM_012197	9:122957011-123020459	.	.	.	.
NM_181531	6:26385015-26388294	.	.	.	.
NM_001083330	20:18297985-18306393	.	.	.	.
NM_020728	7:158773341-158799072	.	.	.	.
NM_003211	12:103982799-103985728	.	.	.	.
NM_017925	9:19286769-19305527	.	.	.	.
NM_181713	2:23958301-23984831	.	.	.	.
NM_006930	5:134157707-134174022	.	.	.	.
NM_001270699	10:31908172-31910563	.	.	.	.
NM_001206801	12:118019072-118028030	.	.	.	.
NM_001253801	19:53521856-53576853	.	.	.	.
NM_017580	10:124940374-124943307,10:124942457-124943307	.	10:124942457-124943307|10:124940374-124943307,	.	.
NM_001145036	1:230663141-230671640,1:230663141-230675124	1:230663141-230675124|1:230663141-230671640,	.	.	.
NM_003360	4:114619423-114623702	.	.	.	.
NM_198889	4:73085249-73092300,4:73118688-73125312	.	.	.	.
NM_003368	1:62443159-62448666,1:62444738-62447511	.	.	.	1:62443159-62448666|1:62444738-62447511,
NM_004865	6:133980082-133984479	.	.	.	.
NM_001024649	5:179705679-179710065	.	.	.	.
NM_002765	X:12799207-12822867	.	.	.	.
NM_002766	17:76312870-76313891	.	.	.	.
NM_001193534	4:15625252-15644708	.	.	.	.
NM_001193535	4:15625252-15644708	.	.	.	.
NM_002161	9:92256680-92269983	.	.	.	.
NM_175610	15:29761139-29773357	.	.	.	.
NM_001080541	15:41668828-41669958,15:41696075-41699159	.	.	.	.
NM_016581	19:11513056-11514221	.	.	.	.
NM_207303	10:115120185-115165645,10:115120185-115171292	10:115120185-115165645|10:115120185-115171292,	.	.	.
NM_002895	20:37066724-37068186	.	.	.	.
NM_001281768	7:45648670-45662214	.	.	.	.
NM_024570	13:50927407-50949505	.	.	.	.
NR_120409	9:75932379-75986245	.	.	.	.
NM_015342	5:65567513-65572286	.	.	.	.
NM_032358	12:405511-438554	.	.	.	.
NM_001278716	6:98880553-98927822	.	.	.	.
NM_001244585	7:139398599-139409654	.	.	.	.
NM_001270529	15:59030804-59076215	.	.	.	.
NM_001270528	15:59030804-59076215	.	.	.	.
NM_001256424	11:106939460-106940178	.	.	.	.
NM_001291940	1:236803428-236838599,1:236806144-236816543	.	.	.	1:236803428-236838599|1:236806144-236816543,
NM_018136	1:197117789-197124955	.	.	.	.
NR_110945	16:910931-954666	.	.	.	.
NR_110946	16:910931-954666	.	.	.	.
NM_001163790	9:112262435-112297916	.	.	.	.
NM_001204388	3:197104903-197119530	.	.	.	.
NM_022495	14:60115719-60125823	.	.	.	.
NM_001204386	3:197104903-197119530	.	.	.	.
NM_001204387	3:197104903-197119530	.	.	.	.
NM_005307	4:2984513-3029409	.	.	.	.
NM_001287054	7:100023419-100024307	.	.	.	.
NM_001278666	6:57193842-57210445	.	.	.	.
NM_001278667	6:57193842-57210445	.	.	.	.
NM_002439	5:80725453-80761678	.	.	.	.
NM_001278668	6:57193842-57210445	.	.	.	.
NM_015186	9:77214329-77227485	.	.	.	.
NM_015180	14:63998914-64022863	.	.	.	.
NM_001040153	13:77719532-77753358,13:77744283-77753358	.	13:77744283-77753358|13:77719532-77753358,	.	.
NM_022753	1:32825313-32834061,1:32825313-32845820	1:32825313-32834061|1:32825313-32845820,	.	.	.
NM_001270890	9:19086734-19096769	.	.	.	.
NM_001178000	2:208285726-208288818	.	.	.	.
NM_001256338	1:147259837-147267518,1:147275354-147285487	.	.	.	.
NM_012343	5:43675511-43704400	.	.	.	.
NM_001130107	14:103669511-103677523	.	.	.	.
NM_020889	17:28921688-28927063	.	.	.	.
NR_046945	13:72835243-72931267	.	.	.	.
NM_001204	2:202464809-202467689	.	.	.	.
NM_152682	4:183646488-183655961	.	.	.	.
NM_001207051	2:121503167-121530325	.	.	.	.
NM_080391	1:31915895-31919658	.	.	.	.
NM_176814	7:127373342-127377329	.	.	.	.
NR_123719	5:43161249-43161931	.	.	.	.
NM_001301108	15:83559253-83588771	.	.	.	.
NM_001301109	15:83559253-83588771	.	.	.	.
NM_001042681	1:8495063-8557523,1:8495063-8614686,1:8541214-8614686,1:8655973-8656441	1:8495063-8557523|1:8495063-8614686,	1:8541214-8614686|1:8495063-8614686,	1:8541214-8614686|1:8495063-8557523,	.
NM_148174	8:102838744-102843747	.	.	.	.
NM_138492	5:145764931-145826200,5:145796442-145826200	.	5:145764931-145826200|5:145796442-145826200,	.	.
NM_001243740	1:247155566-247159813,1:247156406-247159813	.	1:247156406-247159813|1:247155566-247159813,	.	.
NM_001031723	4:99903726-99923185	.	.	.	.
NM_000314	10:87878926-87952259	.	.	.	.
NM_178558	7:64514034-64522500	.	.	.	.
NM_004307	4:41013583-41014398	.	.	.	.
NM_020923	2:206279540-206297373	.	.	.	.
NM_012236	1:41070595-41075451,1:41113283-41143112	.	.	.	.
NM_004491	19:46918488-46937408	.	.	.	.
NM_016195	10:89751346-89762835	.	.	.	.
NM_194301	14:35595634-35635598	.	.	.	.
NM_004738	20:58438945-58441083	.	.	.	.
NM_020925	1:64602806-64641969,1:64629355-64641969	.	1:64602806-64641969|1:64629355-64641969,	.	.
NM_001282937	1:47280241-47282459	.	.	.	.
NM_001282936	1:47280241-47282459	.	.	.	.
NM_001199388	6:130955105-130956499	.	.	.	.
NM_001282939	1:47280241-47282459	.	.	.	.
NM_001282938	1:47280241-47282459	.	.	.	.
NM_004272	5:79439010-79457018	.	.	.	.
NM_001290131	17:28921688-28927063	.	.	.	.
NM_016447	7:24623663-24650712,7:24623663-24668660,7:24623663-24680520,7:24623666-24650712,7:24623666-24668660,7:24623666-24680520	7:24623666-24668660|7:24623666-24650712|7:24623666-24680520,7:24623663-24650712|7:24623663-24680520|7:24623663-24668660,	7:24623663-24650712|7:24623666-24650712,7:24623663-24680520|7:24623666-24680520,7:24623666-24668660|7:24623663-24668660,	7:24623663-24650712|7:24623666-24668660|7:24623666-24680520,7:24623663-24668660|7:24623666-24680520,	7:24623666-24650712|7:24623663-24668660,7:24623663-24680520|7:24623666-24668660|7:24623666-24650712,
NM_016441	2:36396614-36464655	.	.	.	.
NM_001286722	9:93471141-93498886	.	.	.	.
NM_017869	16:87975048-87984259	.	.	.	.
NM_001284357	15:70919050-70984257	.	.	.	.
NM_201559	6:108663455-108664889	.	.	.	.
NM_001128224	3:129827803-129832826	.	.	.	.
NM_006256	1:88740988-88786213,1:88770352-88786213	.	1:88740988-88786213|1:88770352-88786213,	.	.
NM_001303433	1:77949155-77967098	.	.	.	.
NR_028393	1:231795242-231818517	.	.	.	.
NR_046762	2:73432198-73573424	.	.	.	.
NR_028395	1:231795242-231818517	.	.	.	.
NM_173601	12:42097442-42119171	.	.	.	.
NM_001308244	5:180261684-180280608	.	.	.	.
NM_144660	10:75150514-75151106	.	.	.	.
NM_002939	11:497971-502181	.	.	.	.
NM_006431	12:69589485-69593613	.	.	.	.
NM_002154	5:133064980-133076898,5:133092700-133099652	.	.	.	.
NM_001105531	6:70475410-70502791	.	.	.	.
NM_002158	2:48346201-48346751	.	.	.	.
NM_001277814	8:63186147-63187745	.	.	.	.
NM_001277815	8:63186147-63187745	.	.	.	.
NM_001277816	8:63186147-63187745	.	.	.	.
NM_001277817	8:63186147-63187745	.	.	.	.
NM_001113361	4:6923373-6924111	.	.	.	.
NM_001277813	8:63186147-63187745	.	.	.	.
NM_001277818	8:63186147-63187745	.	.	.	.
NM_001012614	4:1225360-1241519	.	.	.	.
NM_001170804	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_001170803	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NR_030613	17:12054889-12113360	.	.	.	.
NM_001170808	12:50427762-50437838,12:50427762-50441643	12:50427762-50441643|12:50427762-50437838,	.	.	.
NM_001288989	10:94030683-94032252	.	.	.	.
NR_024625	11:43326507-43335994	.	.	.	.
NM_183387	14:88726541-88754671	.	.	.	.
NR_030166	9:20715322-20789608	.	.	.	.
NM_022782	12:123210056-123226028	.	.	.	.
NM_006322	13:112516440-112527484	.	.	.	.
NM_006323	4:109506328-109539667	.	.	.	.
NM_175733	11:7313395-7313941	.	.	.	.
NM_001172418	6:38577600-38598121	.	.	.	.
NR_026768	1:45634096-45660377	.	.	.	.
NM_024568	1:147259837-147267518,1:147275354-147285487	.	.	.	.
NM_001008564	13:25307806-25321093	.	.	.	.
NM_001039802	1:22078429-22086866	.	.	.	.
NM_152671	2:208285726-208288818	.	.	.	.
NM_001242871	13:77719532-77753358,13:77744283-77753358	.	13:77744283-77753358|13:77719532-77753358,	.	.
NM_001144978	4:74174506-74225394	.	.	.	.
NM_014497	2:71355719-71380565,2:71396141-71418639	.	.	.	.
NM_001143757	10:132347984-132355886	.	.	.	.
NM_001143759	10:132347984-132355886	.	.	.	.
NM_001143758	10:132347984-132355886	.	.	.	.
NM_018691	5:153997803-154034967	.	.	.	.
NM_018695	5:65988635-66014725	.	.	.	.
NM_018454	15:41356039-41377304	.	.	.	.
NM_001291958	6:161034259-161049979,6:161048616-161049979	.	6:161034259-161049979|6:161048616-161049979,	.	.
NM_001003699	6:7176655-7189322	.	.	.	.
NM_001003698	6:7176655-7189322	.	.	.	.
NM_015571	6:75634707-75663518	.	.	.	.
NM_001142930	11:43326507-43335994	.	.	.	.
NM_001142931	11:43326507-43335994	.	.	.	.
NM_005640	18:26315229-26357794	.	.	.	.
NM_005646	1:234418084-234472811	.	.	.	.
NM_005311	7:50703821-50732368	.	.	.	.
NM_023034	8:38337305-38348215	.	.	.	.
NR_033646	16:910931-954666	.	.	.	.
NM_178040	12:1027748-1028572,12:1180540-1190052,12:1180561-1190052,12:1236769-1290012,12:1236769-1319288,12:1236769-1371977,12:1236769-1408247	12:1236769-1319288|12:1236769-1408247|12:1236769-1371977|12:1236769-1290012,	12:1180540-1190052|12:1180561-1190052,	.	.
NM_022740	7:139715932-139717015	.	.	.	.
NM_022039	10:101667886-101676436	.	.	.	.
NM_001130110	18:44701175-44701832	.	.	.	.
NM_001130112	12:118019072-118028030	.	.	.	.
NM_032012	9:109080839-109108570	.	.	.	.
NM_014976	10:103438015-103438808	.	.	.	.
NM_001195101	1:31915895-31919658	.	.	.	.
NM_001195100	1:31915895-31919658	.	.	.	.
NM_014972	16:89895038-89900794	.	.	.	.
NM_032383	3:149140004-149145546	.	.	.	.
NR_123720	5:43161249-43161931	.	.	.	.
NM_018079	2:45546732-45553730	.	.	.	.
NM_018078	4:128074460-128077962	.	.	.	.
NM_177422	1:35945692-35973511	.	.	.	.
NM_001258389	5:10213491-10227647	.	.	.	.
NM_001258388	5:10213491-10227647	.	.	.	.
NM_001304451	1:10411418-10413251	.	.	.	.
NM_001304452	1:10411418-10413251	.	.	.	.
NR_033645	16:910931-954666	.	.	.	.
NM_001191028	7:129014979-129018157	.	.	.	.
NM_182641	17:67945409-67975958	.	.	.	.
NM_001242898	22:50372020-50394135	.	.	.	.
NM_001242899	22:50372020-50394135	.	.	.	.
NM_001282560	1:27988535-28004419	.	.	.	.
NM_001282561	1:27988535-28004419	.	.	.	.
NM_001282562	1:27988535-28004419	.	.	.	.
NM_001300731	11:46433474-46435037	.	.	.	.
NM_173454	15:85113873-85121014	.	.	.	.
NM_030626	10:132347984-132355886	.	.	.	.
NM_001017395	3:129827803-129832826	.	.	.	.
NM_001261816	16:2557703-2566453	.	.	.	.
NM_001244897	9:112262435-112297916	.	.	.	.
NM_001494	10:5785142-5800705,10:5794885-5800705	.	10:5785142-5800705|10:5794885-5800705,	.	.
NM_001284214	2:229858772-229860531,2:229858772-229880128	2:229858772-229860531|2:229858772-229880128,	.	.	.
NM_001284215	2:229858772-229860531,2:229858772-229880128	2:229858772-229860531|2:229858772-229880128,	.	.	.
NM_001284216	2:229858772-229880128	.	.	.	.
NR_036650	15:32522448-32533368,15:32523029-32533368,15:32526813-32533368	.	15:32526813-32533368|15:32523029-32533368|15:32522448-32533368,	.	.
NM_030938	17:59737453-59817773	.	.	.	.
NM_001137668	6:89862126-89871388	.	.	.	.
NM_004065	X:140783175-140784659	.	.	.	.
NM_001137667	6:89862126-89871388	.	.	.	.
NM_001282906	10:45639816-45663842	.	.	.	.
NM_001282905	10:45639816-45663842	.	.	.	.
NM_172070	2:170029346-170073607	.	.	.	.
NM_101395	21:37420299-37472880	.	.	.	.
NM_001276459	4:139060324-139073567	.	.	.	.
NM_001276458	4:139060324-139073567	.	.	.	.
NM_001142464	19:11513056-11514221	.	.	.	.
NM_173075	4:41013583-41014398	.	.	.	.
NM_001276453	17:47663089-47668410	.	.	.	.
NM_198551	1:222621159-222633249	.	.	.	.
NM_198229	4:3314791-3343053	.	.	.	.
NM_001001925	8:17743604-17755961	.	.	.	.
NM_001001924	8:17743604-17755961	.	.	.	.
NM_181461	2:222220140-222232283	.	.	.	.
NM_001309431	11:117152441-117163892	.	.	.	.
NM_001164273	15:41668828-41669958,15:41696075-41699159	.	.	.	.
NM_024770	2:171337453-171339554	.	.	.	.
NM_001303429	1:46055795-46080750,1:46061929-46080750	.	1:46061929-46080750|1:46055795-46080750,	.	.
NM_001303428	1:46055795-46080750,1:46061929-46080750	.	1:46061929-46080750|1:46055795-46080750,	.	.
NM_003304	3:142736379-142748460	.	.	.	.
NM_001303427	1:46055795-46080750,1:46061929-46080750	.	1:46061929-46080750|1:46055795-46080750,	.	.
NM_003300	14:102870185-102876525	.	.	.	.
NR_102264	10:68459104-68470163,10:68468123-68470163	.	10:68468123-68470163|10:68459104-68470163,	.	.
NM_001253701	5:65988635-66014725	.	.	.	.
NM_004515	1:153665220-153668557	.	.	.	.
NM_004514	17:82563354-82571870	.	.	.	.
NM_207491	4:90308244-90313047	.	.	.	.
NM_024881	19:16555152-16568169	.	.	.	.
NM_016548	9:86033282-86036507	.	.	.	.
NM_175854	13:28256292-28281379	.	.	.	.
NM_001308258	3:149140004-149145546	.	.	.	.
NM_001289003	16:71678755-71681905	.	.	.	.
NM_001242870	13:77719532-77753358,13:77744283-77753358	.	13:77744283-77753358|13:77719532-77753358,	.	.
NM_002926	4:3314791-3343053	.	.	.	.
NM_001257282	2:232014835-232030080,2:232014835-232087721	2:232014835-232030080|2:232014835-232087721,	.	.	.
NM_001257281	2:232014835-232030080,2:232014835-232087721	2:232014835-232030080|2:232014835-232087721,	.	.	.
NM_031407	X:53614534-53617446,X:53645311-53654131	.	.	.	.
NR_026975	X:131709498-131794466,X:131743096-131794466,X:131749306-131785258,X:131749306-131794466	X:131749306-131785258|X:131749306-131794466,	X:131709498-131794466|X:131749306-131794466|X:131743096-131794466,	.	X:131709498-131794466|X:131749306-131785258,X:131743096-131794466|X:131749306-131785258,
NM_152838	20:35653528-35659014	.	.	.	.
NM_001243251	11:78465876-78493195	.	.	.	.
NM_001206729	1:243545510-243843282,1:243613671-243695716,1:243613671-243843282	1:243613671-243843282|1:243613671-243695716,	1:243545510-243843282|1:243613671-243843282,	.	1:243545510-243843282|1:243613671-243695716,
NM_001243439	17:20204333-20205912,17:20245926-20260294	.	.	.	.
NM_001243438	17:20204333-20205912	.	.	.	.
NM_002858	1:94489725-94506642	.	.	.	.
