circle_id	length	cluster_id
10_101667886_101676436	510	3
10_124940374_124943307	1185	4
10_124942457_124943307	1185	4
10_5785142_5800705	539	1
10_68468123_68470163	367	1
10_7243558_7285954	636	1
10_7797047_7802854	690	2
10_84371014_84373815	1856	2
11_103303093_103323990	246	6
11_121045674_121060085	634	1
11_130260856_130261929	1074	2
1_117402186_117405645	353	1
1_117402186_117414831	472	3
1_117402186_117420649	553	1
1_117402186_117442325	601	2
11_32927157_32935435	3968	2
11_33286413_33287511	1099	2
1_155438327_155439068	742	2
1_155438327_155459898	844	2
1_15872816_15876678	798	2
11_92352096_92355404	3309	2
1_20749723_20773610	655	2
12_116230533_116237705	238	5
12_1236769_1290012	429	2
1_224952670_224974153	682	1
1_224952670_225007544	777	1
12_46229153_46243314	522	2
1_247155566_247159813	2603	6
1_247156406_247159813	2603	4
12_69251129_69262562	754	1
12_69589485_69593613	485	3
12_95208843_95211267	2425	2
13_112516440_112527484	611	2
1_31915895_31919658	782	2
13_50927407_50949505	588	2
1_35358925_35361789	755	2
13_95757644_95763953	612	2
14_21503173_21503881	623	2
14_32090502_32094386	3885	2
14_32090502_32117287	4033	2
1_47280241_47282459	1084	2
14_96833467_96860735	759	2
14_99458279_99465813	660	2
15_41668828_41669958	1131	2
15_41696075_41699159	1124	2
15_64499293_64500166	747	2
15_74655733_74675142	568	2
1_58506060_58536741	604	1
1_58506060_58539310	941	2
16_18841565_18845651	503	2
16_31090775_31091342	489	5
16_68121987_68126610	1298	2
17_20204333_20205912	1580	2
17_47663089_47668410	476	1
17_67945409_67975958	925	2
18_12999421_13019206	755	1
18_21765772_21779685	624	2
1_84865385_84866138	754	2
1_8655973_8656441	469	1
18_9182382_9221999	677	2
19_17101660_17102557	898	2
19_34451981_34467014	654	2
19_46918488_46937408	3826	4
20_35714185_35725155	576	1
20_41533050_41551360	577	1
20_47276314_47287284	732	1
20_56381433_56386533	516	3
20_62852317_62852353	1395	3
21_29321221_29329693	551	2
2_207976651_207977586	936	2
2_214767482_214781509	1173	2
22_20933779_20934244	466	2
2_222220140_222232283	471	1
22_41808875_41813822	241	1
22_45689712_45740538	279	5
22_45729425_45740538	445	1
22_50372020_50394135	374	1
2_99412731_99435941	646	5
3_125313308_125331238	566	1
3_142736379_142748460	460	1
3_158122103_158123991	322	2
3_56660731_56673725	314	1
3_8935871_8941804	623	1
4_112562371_112585725	544	2
4_148435104_148436862	1759	2
4_152411303_152412529	763	6
4_177353308_177360677	596	2
4_186706563_186709845	3283	2
4_1900626_1904378	789	2
4_51863437_51877854	318	1
4_55411614_55417985	585	2
4_76134175_76144473	643	2
5_123545417_123557564	536	1
5_168488602_168494650	534	3
5_178885614_178931326	2345	1
5_180261684_180280608	497	1
5_50399107_50411383	3570	4
5_94643273_94654752	630	1
6_13632370_13644729	659	1
6_158282263_158314268	1609	4
6_158312051_158314268	1609	4
6_161034259_161049979	1555	2
6_47283938_47286595	1147	2
6_4891713_4892379	667	2
6_79042843_79060818	411	1
6_89862126_89871388	5478	2
7_100023419_100024307	578	2
7_127373342_127377329	1837	2
7_129014979_129018157	432	3
7_129205203_129206587	604	2
7_152309966_152315338	460	2
7_155672867_155680908	445	3
7_24623666_24668660	703	2
7_39987599_40002031	1021	2
8_141253989_141254629	641	2
8_18765449_18804898	466	3
8_47279862_47294030	455	1
9_100498765_100516771	364	1
9_135881633_135883078	425	1
9_20819796_20823115	465	1
9_77214329_77227485	621	1
9_85618983_85633374	999	2
9_92256680_92269983	692	1
X_131743096_131794466	496	5
X_131749306_131794466	595	1
X_140783175_140784659	1299	2
X_148661908_148662768	861	2
