exon	relative_pos_in_circle	relative_pos_in_exon	coverage
1	1	1	9
1	2	2	9
1	3	3	9
1	4	4	9
1	5	5	9
1	6	6	9
1	7	7	9
1	8	8	9
1	9	9	9
1	10	10	9
1	11	11	9
1	12	12	9
1	13	13	9
1	14	14	9
1	15	15	9
1	16	16	9
1	17	17	9
1	18	18	9
1	19	19	9
1	20	20	9
1	21	21	9
1	22	22	9
1	23	23	9
1	24	24	9
1	25	25	9
1	26	26	9
1	27	27	9
1	28	28	9
1	29	29	9
1	30	30	9
1	31	31	9
1	32	32	9
1	33	33	9
1	34	34	9
1	35	35	9
1	36	36	9
1	37	37	9
1	38	38	7
1	39	39	7
1	40	40	7
1	41	41	7
1	42	42	7
1	43	43	7
1	44	44	7
1	45	45	8
1	46	46	8
1	47	47	8
1	48	48	8
1	49	49	8
1	50	50	8
1	51	51	8
1	52	52	8
1	53	53	8
1	54	54	8
1	55	55	8
1	56	56	8
1	57	57	8
1	58	58	8
1	59	59	8
1	60	60	8
1	61	61	8
1	62	62	8
1	63	63	8
1	64	64	8
1	65	65	8
1	66	66	8
1	67	67	8
1	68	68	8
1	69	69	8
1	70	70	8
1	71	71	8
1	72	72	8
1	73	73	8
1	74	74	8
1	75	75	8
1	76	76	8
1	77	77	8
1	78	78	8
1	79	79	8
1	80	80	8
1	81	81	8
1	82	82	8
1	83	83	8
1	84	84	8
2	85	1	8
2	86	2	8
2	87	3	8
2	88	4	8
2	89	5	8
2	90	6	8
2	91	7	8
2	92	8	8
2	93	9	8
2	94	10	8
2	95	11	8
2	96	12	8
2	97	13	8
2	98	14	8
2	99	15	8
2	100	16	8
2	101	17	8
2	102	18	8
2	103	19	8
2	104	20	8
2	105	21	8
2	106	22	8
2	107	23	8
2	108	24	8
2	109	25	8
2	110	26	8
2	111	27	8
2	112	28	8
2	113	29	8
2	114	30	8
2	115	31	8
2	116	32	8
2	117	33	8
2	118	34	8
2	119	35	8
2	120	36	8
2	121	37	8
2	122	38	8
2	123	39	8
2	124	40	8
2	125	41	8
2	126	42	8
2	127	43	8
2	128	44	8
2	129	45	8
2	130	46	8
2	131	47	8
2	132	48	8
2	133	49	8
2	134	50	7
2	135	51	7
2	136	52	7
2	137	53	7
2	138	54	7
2	139	55	6
2	140	56	6
2	141	57	6
2	142	58	6
2	143	59	6
2	144	60	6
2	145	61	6
2	146	62	6
2	147	63	6
2	148	64	6
2	149	65	6
2	150	66	6
2	151	67	6
2	152	68	6
2	153	69	6
2	154	70	6
2	155	71	6
2	156	72	6
2	157	73	6
2	158	74	6
2	159	75	5
2	160	76	5
2	161	77	5
2	162	78	5
2	163	79	5
2	164	80	5
2	165	81	5
2	166	82	5
2	167	83	5
2	168	84	5
2	169	85	5
2	170	86	5
2	171	87	5
2	172	88	5
2	173	89	5
2	174	90	5
2	175	91	5
2	176	92	5
2	177	93	5
2	178	94	5
2	179	95	5
2	180	96	5
2	181	97	5
2	182	98	5
2	183	99	5
2	184	100	5
2	185	101	5
2	186	102	5
2	187	103	5
2	188	104	5
2	189	105	5
2	190	106	5
2	191	107	5
2	192	108	5
2	193	109	5
2	194	110	5
2	195	111	5
2	196	112	5
2	197	113	5
2	198	114	5
3	199	1	4
3	200	2	4
3	201	3	4
3	202	4	4
3	203	5	4
3	204	6	4
3	205	7	4
3	206	8	4
3	207	9	4
3	208	10	4
3	209	11	4
3	210	12	4
3	211	13	4
3	212	14	4
3	213	15	4
3	214	16	4
3	215	17	4
3	216	18	4
3	217	19	4
3	218	20	4
3	219	21	4
3	220	22	4
3	221	23	4
3	222	24	4
3	223	25	4
3	224	26	4
3	225	27	4
3	226	28	4
3	227	29	4
3	228	30	4
3	229	31	4
3	230	32	4
3	231	33	4
3	232	34	4
3	233	35	4
3	234	36	4
3	235	37	4
3	236	38	4
3	237	39	4
3	238	40	4
3	239	41	3
3	240	42	3
3	241	43	3
3	242	44	3
3	243	45	3
3	244	46	3
3	245	47	3
3	246	48	3
3	247	49	3
3	248	50	3
3	249	51	3
3	250	52	3
3	251	53	3
3	252	54	3
3	253	55	3
3	254	56	3
3	255	57	3
3	256	58	3
3	257	59	3
3	258	60	3
3	259	61	3
3	260	62	3
3	261	63	1
3	262	64	1
3	263	65	1
3	264	66	1
3	265	67	1
3	266	68	1
3	267	69	1
3	268	70	1
3	269	71	1
3	270	72	1
3	271	73	1
3	272	74	1
3	273	75	1
3	274	76	1
3	275	77	1
3	276	78	1
3	277	79	1
3	278	80	1
3	279	81	1
3	280	82	1
3	281	83	1
3	282	84	1
3	283	85	1
3	284	86	1
3	285	87	1
3	286	88	1
3	287	89	1
3	288	90	1
3	289	91	1
