circle_id	length	cluster_id
10_12081472_12091684	785	1
10_31908172_31910563	794	3
10_5773842_5800705	774	4
10_68459104_68470163	645	1
10_7243558_7285954	684	1
1_117402186_117420649	553	4
1_117402186_117442325	648	4
1_155438327_155459898	844	4
1_15872816_15876678	798	4
1_20749723_20773610	791	1
12_100282943_100298175	508	4
12_1027748_1028572	825	1
12_104927973_104928694	722	4
12_1180540_1190052	614	4
12_1236769_1371977	574	4
1_22078429_22086866	536	2
1_224952670_224974153	863	3
1_226961377_226965737	664	4
1_243613671_243843282	808	3
13_112516440_112527484	751	3
1_31915895_31919658	782	3
1_35358925_35361789	755	1
13_77719532_77753358	788	1
1_41113283_41143112	568	2
14_30877572_30880734	547	3
14_99458279_99465813	683	4
15_64499293_64500166	747	1
15_69210316_69261329	933	1
17_4066447_4072756	564	4
18_21765772_21779685	679	4
1_84865385_84866138	754	4
1_8495063_8557523	582	4
19_34451981_34464131	733	3
20_35714185_35725155	680	4
2_189791790_189818180	602	4
2_207976651_207977586	936	1
3_8935871_8941804	623	3
4_1225360_1241519	702	2
4_152411303_152412529	763	4
4_177353308_177360677	596	4
4_185247294_185267155	662	4
4_1900626_1904378	789	1
5_123545417_123557564	536	4
5_168488602_168494650	534	4
5_65567513_65572286	773	1
5_74813840_74841679	673	1
5_79439010_79457018	522	2
5_94643273_94654752	724	3
6_18236452_18258405	902	3
6_4891713_4892379	667	3
6_79042843_79060818	633	4
7_100023419_100024307	578	1
8_18765449_18804898	538	4
9_83678441_83686155	690	1
9_85669485_85712566	695	1
9_92256680_92269983	932	1
X_131743096_131794466	698	1
X_131749306_131785258	702	1
X_131749306_131794466	845	1
