exon	relative_pos_in_circle	relative_pos_in_exon	coverage
3	1	1	6
3	2	2	6
3	3	3	6
3	4	4	6
3	5	5	6
3	6	6	6
3	7	7	6
3	8	8	6
3	9	9	6
3	10	10	6
3	11	11	6
3	12	12	6
3	13	13	6
3	14	14	6
3	15	15	6
3	16	16	6
3	17	17	6
3	18	18	6
3	19	19	6
3	20	20	6
3	21	21	6
3	22	22	6
3	23	23	6
3	24	24	6
3	25	25	6
3	26	26	6
3	27	27	6
3	28	28	6
3	29	29	6
3	30	30	6
3	31	31	6
3	32	32	6
3	33	33	6
3	34	34	6
3	35	35	6
3	36	36	6
3	37	37	6
3	38	38	6
3	39	39	6
3	40	40	5
3	41	41	5
3	42	42	5
3	43	43	5
3	44	44	5
3	45	45	5
3	46	46	5
3	47	47	5
3	48	48	5
3	49	49	5
3	50	50	5
3	51	51	5
3	52	52	5
3	53	53	5
3	54	54	4
3	55	55	3
3	56	56	3
3	57	57	3
3	58	58	3
3	59	59	3
3	60	60	3
3	61	61	3
3	62	62	3
3	63	63	3
3	64	64	3
3	65	65	3
3	66	66	3
3	67	67	3
3	68	68	3
3	69	69	3
3	70	70	3
3	71	71	3
3	72	72	3
3	73	73	3
3	74	74	3
3	75	75	3
3	76	76	3
3	77	77	3
3	78	78	3
3	79	79	3
3	80	80	3
3	81	81	3
3	82	82	3
3	83	83	3
3	84	84	3
3	85	85	3
3	86	86	3
3	87	87	3
3	88	88	3
3	89	89	3
3	90	90	3
3	91	91	3
3	92	92	3
3	93	93	3
3	94	94	3
3	95	95	3
3	96	96	3
3	97	97	3
3	98	98	3
3	99	99	3
3	100	100	3
3	101	101	3
3	102	102	3
3	103	103	3
3	104	104	3
3	105	105	3
3	106	106	3
3	107	107	3
3	108	108	3
3	109	109	3
3	110	110	3
3	111	111	3
3	112	112	3
3	113	113	3
3	114	114	3
3	115	115	3
3	116	116	2
3	117	117	2
3	118	118	2
3	119	119	2
3	120	120	2
3	121	121	2
3	122	122	2
3	123	123	2
3	124	124	2
3	125	125	2
3	126	126	2
3	127	127	2
3	128	128	2
3	129	129	2
3	130	130	2
3	131	131	2
3	132	132	2
3	133	133	2
3	134	134	2
3	135	135	2
3	136	136	2
3	137	137	2
3	138	138	2
3	139	139	2
3	140	140	2
3	141	141	2
3	142	142	2
3	143	143	2
3	144	144	2
3	145	145	2
3	146	146	2
3	147	147	2
3	148	148	2
3	149	149	2
3	150	150	2
3	151	151	2
3	152	152	2
3	153	153	2
3	154	154	2
3	155	155	2
3	156	156	2
3	157	157	2
3	158	158	2
3	159	159	2
3	160	160	2
3	161	161	2
3	162	162	2
3	163	163	2
3	164	164	2
3	165	165	2
3	166	166	2
3	167	167	2
3	168	168	2
3	169	169	2
3	170	170	2
3	171	171	2
3	172	172	2
3	173	173	2
3	174	174	2
3	175	175	2
3	176	176	2
3	177	177	2
3	178	178	2
3	179	179	2
3	180	180	2
3	181	181	2
3	182	182	2
3	183	183	2
3	184	184	2
3	185	185	2
3	186	186	2
3	187	187	2
3	188	188	2
3	189	189	2
3	190	190	2
3	191	191	2
