exon	relative_pos_in_circle	relative_pos_in_exon	coverage
3	1	1	70
3	2	2	70
3	3	3	71
3	4	4	71
3	5	5	71
3	6	6	71
3	7	7	71
3	8	8	71
3	9	9	71
3	10	10	71
3	11	11	71
3	12	12	71
3	13	13	71
3	14	14	71
3	15	15	71
3	16	16	71
3	17	17	71
3	18	18	71
3	19	19	71
3	20	20	71
3	21	21	71
3	22	22	71
3	23	23	71
3	24	24	70
3	25	25	70
3	26	26	70
3	27	27	70
3	28	28	70
3	29	29	71
3	30	30	71
3	31	31	71
3	32	32	71
3	33	33	71
3	34	34	71
3	35	35	71
3	36	36	71
3	37	37	71
3	38	38	71
3	39	39	70
3	40	40	70
3	41	41	69
3	42	42	68
3	43	43	68
3	44	44	68
3	45	45	68
3	46	46	69
3	47	47	69
3	48	48	69
3	49	49	67
3	50	50	67
3	51	51	67
3	52	52	65
3	53	53	65
3	54	54	65
3	55	55	65
3	56	56	65
3	57	57	63
3	58	58	61
3	59	59	61
3	60	60	61
3	61	61	60
3	62	62	61
3	63	63	61
3	64	64	61
3	65	65	61
3	66	66	60
3	67	67	58
3	68	68	58
3	69	69	59
3	70	70	59
3	71	71	59
3	72	72	59
3	73	73	58
3	74	74	57
3	75	75	57
3	76	76	58
3	77	77	58
3	78	78	58
3	79	79	58
3	80	80	58
3	81	81	57
3	82	82	57
3	83	83	56
3	84	84	56
3	85	85	56
3	86	86	56
3	87	87	56
3	88	88	56
3	89	89	56
3	90	90	56
3	91	91	56
3	92	92	56
3	93	93	56
3	94	94	55
3	95	95	55
3	96	96	54
3	97	97	54
3	98	98	54
3	99	99	54
3	100	100	54
3	101	101	54
3	102	102	53
3	103	103	53
3	104	104	53
3	105	105	53
3	106	106	53
3	107	107	53
3	108	108	53
3	109	109	53
3	110	110	53
3	111	111	52
3	112	112	50
3	113	113	50
3	114	114	50
3	115	115	50
3	116	116	50
3	117	117	50
3	118	118	50
3	119	119	50
3	120	120	50
3	121	121	50
3	122	122	50
3	123	123	50
3	124	124	50
3	125	125	50
3	126	126	49
3	127	127	49
3	128	128	49
3	129	129	49
3	130	130	49
3	131	131	49
3	132	132	49
3	133	133	48
3	134	134	48
3	135	135	48
3	136	136	48
3	137	137	48
3	138	138	49
3	139	139	49
3	140	140	49
3	141	141	49
3	142	142	49
3	143	143	49
3	144	144	49
3	145	145	49
3	146	146	49
3	147	147	49
3	148	148	49
3	149	149	49
3	150	150	47
3	151	151	47
3	152	152	46
3	153	153	44
4	154	1	43
4	155	2	43
4	156	3	43
4	157	4	43
4	158	5	43
4	159	6	44
4	160	7	44
4	161	8	44
4	162	9	44
4	163	10	44
4	164	11	44
4	165	12	44
4	166	13	44
4	167	14	44
4	168	15	44
4	169	16	44
4	170	17	42
4	171	18	42
4	172	19	42
4	173	20	42
4	174	21	42
4	175	22	42
4	176	23	42
4	177	24	42
4	178	25	42
4	179	26	42
4	180	27	43
4	181	28	43
4	182	29	43
4	183	30	43
4	184	31	43
4	185	32	43
4	186	33	43
4	187	34	43
4	188	35	43
4	189	36	39
4	190	37	39
4	191	38	40
4	192	39	40
4	193	40	40
4	194	41	39
4	195	42	39
4	196	43	39
4	197	44	39
4	198	45	39
4	199	46	39
4	200	47	39
4	201	48	39
