circle_id	transcript_ids	num_reads	min_length	max_length	single	double	undefined
10_12081472_12091684	NM_018706	4	1004	1004	4	0	0
10_124942457_124943307	NM_017580	24	850	850	9	2	13
10_31908172_31910563	NM_001270699,NM_001270698,NM_001270697,NM_001270696,NM_001270695,NM_018287	6	754	793	6	0	0
10_5773842_5800705	NM_001115156,NM_001494	5	638	773	2	0	3
10_68459104_68470163	NM_001080449,NR_102264	5	644	644	1	0	4
10_7243558_7285954	NM_001018039,NM_001029880	7	683	683	6	0	1
10_7276892_7285954	NM_001018039,NM_001029880	5	433	433	2	0	3
10_94030683_94032252	NM_001288989,NM_016341	4	1569	1569	3	0	1
11_117152441_117163892	NM_001184748,NR_110268,NR_110269,NM_002572,NR_110282,NM_001184747,NM_001184746,NM_001309431	4	123	417	4	0	0
11_130260856_130261929	NM_014155,NM_001301098,NM_001301099	11	1073	1073	9	2	0
11_33286413_33287511	NM_001278163,NM_001278162,NM_001048200,NM_005734	28	1098	1098	27	1	0
11_66639700_66640123	NM_002896,NM_001198844,NM_001198843	4	423	423	2	2	0
11_92352096_92355404	NM_001008781	10	3308	3308	10	0	0
12_100282943_100298175	NM_017988	4	507	507	4	0	0
12_1027748_1028572	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	7	824	824	7	0	0
12_104927973_104928694	NM_032148	4	721	721	3	1	0
12_116230533_116237705	NM_015335	6	238	238	5	1	0
12_1180540_1190052	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	5	613	613	3	0	2
12_1236769_1290012	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	5	296	428	4	1	0
12_1236769_1371977	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	5	441	573	5	0	0
12_69251129_69262562	NM_001300947,NM_007007	10	1598	1709	10	0	0
13_112516440_112527484	NM_001286278,NM_006322,NM_001286277	9	750	750	5	0	4
13_75560753_75569507	NM_001270952,NM_006002	7	419	419	3	0	4
13_77719532_77753358	NM_001242870,NM_001242871,NM_001242869,NM_001242868,NM_001040153,NM_144595	7	587	1013	6	0	1
14_30877572_30880734	NM_004086,NM_001135058	8	546	546	6	2	0
14_32090502_32094386	NM_001030055,NM_001173	18	3884	3884	17	1	0
14_32090502_32117287	NM_001030055,NM_001173	7	4029	4032	7	0	0
14_96833467_96860735	NM_003384	33	1072	1072	28	2	3
14_99458279_99465813	NM_199123,NM_032233	42	682	682	31	3	8
15_32526813_32533368	NR_036650	9	648	648	9	0	0
15_41668828_41669958	NM_001080541,NM_001164273	18	1130	1130	17	1	0
15_64499293_64500166	NM_015042	11	747	747	11	0	0
15_69210316_69261329	NM_015554	5	932	932	5	0	0
16_68121987_68123121	NM_004555,NM_173165,NM_173163	5	1134	1134	4	1	0
16_68121987_68126610	NM_004555,NM_173165,NM_173163	9	1297	1297	6	1	2
17_20204333_20205912	NM_001243439,NM_001243438,NM_152904,NM_001033553,NM_001033555,NM_001033554	17	1579	1579	15	2	0
17_4066447_4072756	NM_015113	5	563	563	4	0	1
18_12999421_13019206	NM_032142	8	1053	1053	1	0	7
18_21765772_21779685	NM_020774	11	678	678	11	0	0
18_21765772_21819646	NM_020774	4	1599	1599	4	0	0
19_34451981_34464131	NM_005499	7	732	732	7	0	0
1_117402186_117414831	NM_006699	15	471	471	15	0	0
1_117402186_117420649	NM_006699	31	552	552	31	0	0
1_117402186_117442325	NM_006699	19	647	647	19	0	0
1_155438327_155459898	NM_018489	6	843	843	6	0	0
1_15872816_15876678	NM_015001	8	797	797	8	0	0
1_20749723_20773610	NM_016287	5	790	790	4	0	1
1_22078429_22086866	NM_001039802,NM_044472,NM_001791	4	535	535	4	0	0
1_224952670_224974153	NM_144989,NM_001373,NM_001145154	9	862	928	6	0	3
1_224952670_225007544	NM_144989,NM_001373,NM_001145154	5	928	1139	5	0	0
1_226961377_226965737	NM_020247	5	663	663	2	0	3
1_232513857_232515608	NM_020808	5	1640	1640	5	0	0
1_243545510_243843282	NM_005465,NM_181690,NM_001206729	4	1362	1362	3	1	0
1_243613671_243843282	NM_005465,NM_181690,NM_001206729	4	807	807	3	1	0
1_247155566_247159813	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	6	188	2025	1	0	5
1_247156406_247159813	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	4	188	1185	3	0	1
1_31915895_31919658	NM_001195101,NM_001195100,NM_080391	14	689	781	12	0	2
1_35358925_35361789	NM_005095	9	754	754	5	1	3
1_41070595_41075451	NM_001031694,NM_001172218,NM_001172219,NM_012236,NM_001172221,NM_001172220,NM_001172222	6	359	359	3	2	1
1_41113283_41143112	NM_001031694,NM_001172218,NM_001172219,NM_012236,NM_001172221,NM_001172220,NM_001172222	5	235	567	3	0	2
1_47280241_47282459	NM_001282937,NM_001282936,NM_001282939,NM_001282938,NM_003035,NM_001048166	5	1083	1083	5	0	0
1_58506060_58539310	NM_145243	6	1380	1380	6	0	0
1_84865385_84866138	NM_012152	5	753	753	4	1	0
1_8495063_8557523	NM_001042681,NM_012102	4	581	581	1	0	3
20_35714185_35725155	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	8	679	679	6	0	2
20_62852317_62852353	NM_001301726	7	36	36	6	1	0
21_29321221_29329693	NM_206866,NR_027655,NM_001186	13	1835	1835	9	4	0
22_20933779_20934244	NM_005207	4	465	465	4	0	0
22_45689712_45740538	NM_013236,NM_001167621	5	865	1056	4	1	0
22_45729425_45740538	NM_013236,NM_001167621	8	444	444	5	3	0
22_50372020_50394135	NM_001242898,NM_001242899,NM_001242900,NM_014678	7	373	373	7	0	0
