circle_id	length	cluster_id
10_101667886_101676436	510	2
10_5785142_5800705	539	3
10_7243558_7285954	636	3
10_7797047_7802854	690	2
11_121045674_121060085	634	3
1_117402186_117420649	553	3
1_117402186_117442325	601	2
1_155438327_155439068	742	4
1_155438327_155459898	844	1
1_15872816_15876678	798	4
1_20749723_20773610	655	3
1_224952670_224974153	682	3
1_224952670_225007544	777	1
12_46229153_46243314	522	2
12_69251129_69262562	754	1
13_112516440_112527484	611	3
1_31915895_31919658	782	1
13_50927407_50949505	588	2
1_35358925_35361789	755	4
13_95757644_95763953	612	2
14_21503173_21503881	623	2
14_96833467_96860735	759	1
14_99458279_99465813	660	2
15_64499293_64500166	747	4
15_74655733_74675142	568	2
1_58506060_58536741	604	3
1_58506060_58539310	941	1
16_18841565_18845651	503	3
17_67945409_67975958	925	1
18_12999421_13019206	755	3
18_21765772_21779685	624	3
1_84865385_84866138	754	1
18_9182382_9221999	677	3
19_17101660_17102557	898	4
19_34451981_34467014	654	2
20_35714185_35725155	576	3
20_41533050_41551360	577	3
20_47276314_47287284	732	3
20_56381433_56386533	516	2
21_29321221_29329693	551	3
2_207976651_207977586	936	1
2_99412731_99435941	646	2
3_125313308_125331238	566	3
3_8935871_8941804	623	3
4_112562371_112585725	544	2
4_152411303_152412529	763	4
4_177353308_177360677	596	3
4_1900626_1904378	789	4
4_55411614_55417985	585	2
4_76134175_76144473	643	2
5_123545417_123557564	536	3
5_168488602_168494650	534	2
5_94643273_94654752	630	3
6_13632370_13644729	659	1
6_4891713_4892379	667	2
7_100023419_100024307	578	4
7_129205203_129206587	604	2
7_24623666_24668660	703	4
8_141253989_141254629	641	2
9_77214329_77227485	621	3
9_85618983_85633374	999	1
9_92256680_92269983	692	1
X_131749306_131794466	595	3
X_148661908_148662768	861	4
