sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
hek293_B_test	14:30877572-30880734	NM_004086	NM_004086,NM_001135058	3	14	30877571	30877728	+	157	8	16	11	5
hek293_B_test	14:30877572-30880734	NM_004086	NM_004086,NM_001135058	4	14	30878810	30878944	+	134	5	13	8	5
hek293_B_test	14:30877572-30880734	NM_004086	NM_004086,NM_001135058	5	14	30879422	30879485	+	63	6	8	3	5
hek293_B_test	14:30877572-30880734	NM_004086	NM_004086,NM_001135058	6	14	30880451	30880496	+	45	8	11	5	6
hek293_B_test	14:30877572-30880734	NM_004086	NM_004086,NM_001135058	7	14	30880586	30880734	+	148	8	16	9	7
hek293_B_test	1:35358925-35361789	NM_005095	NM_005095	2	1	35358924	35359446	+	522	9	21	10	11
hek293_B_test	1:35358925-35361789	NM_005095	NM_005095	3	1	35361193	35361255	+	62	5	9	5	4
hek293_B_test	1:35358925-35361789	NM_005095	NM_005095	4	1	35361618	35361789	+	171	9	15	6	9
hek293_B_test	4:87046166-87047594	NM_005935	NM_005935,NM_001166693	1	4	87046165	87046286	+	121	5	6	6	0
hek293_B_test	4:87046166-87047594	NM_005935	NM_005935,NM_001166693	2	4	87046694	87047594	+	900	5	12	7	5
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	0	5	50396196	50399290	-	3094	13	23	6	17
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	1	5	50399858	50399913	-	55	5	9	0	9
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	2	5	50402285	50402319	-	34	1	1	0	1
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	3	5	50403177	50403454	-	277	4	4	3	1
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	4	5	50405724	50405852	-	128	4	4	4	0
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	5	5	50410876	50410965	-	89	5	6	6	0
hek293_B_test	5:50399107-50411383	NM_198449	NM_198449	6	5	50411196	50411383	-	187	13	24	12	12
hek293_B_test	15:69210316-69261329	NM_015554	NM_015554	1	15	69210315	69210406	+	91	5	8	2	6
hek293_B_test	15:69210316-69261329	NM_015554	NM_015554	2	15	69255793	69256392	+	599	3	5	3	2
hek293_B_test	15:69210316-69261329	NM_015554	NM_015554	3	15	69261086	69261329	+	243	5	6	2	4
hek293_B_test	18:21765772-21779685	NM_020774	NM_020774	1	18	21765771	21765943	+	172	11	17	10	7
hek293_B_test	18:21765772-21779685	NM_020774	NM_020774	2	18	21768622	21768752	+	130	6	10	5	5
hek293_B_test	18:21765772-21779685	NM_020774	NM_020774	3	18	21773623	21773728	+	105	7	7	2	5
hek293_B_test	18:21765772-21779685	NM_020774	NM_020774	4	18	21778102	21778169	+	67	5	5	2	3
hek293_B_test	18:21765772-21779685	NM_020774	NM_020774	5	18	21779480	21779685	+	205	11	20	13	7
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	1	18	21765771	21765943	+	172	4	5	2	3
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	2	18	21768622	21768752	+	130	1	1	0	1
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	3	18	21773623	21773728	+	105	1	1	0	1
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	4	18	21778102	21778169	+	67	1	1	0	1
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	5	18	21779480	21779685	+	205	1	1	0	1
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	6	0	0	0	0	0	0	0	0	0
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	7	0	0	0	0	0	0	0	0	0
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	8	0	0	0	0	0	0	0	0	0
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	9	18	21803906	21804014	+	108	1	1	1	0
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	10	18	21815615	21815813	+	198	4	7	5	2
hek293_B_test	18:21765772-21819646	NM_020774	NM_020774	11	18	21819494	21819646	+	152	4	7	4	3
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	4	13	112516439	112516575	-	136	9	17	13	4
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	5	13	112518974	112519043	-	69	6	12	9	3
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	6	13	112519885	112520021	-	136	7	7	1	6
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	7	13	112522319	112522509	-	190	6	6	1	5
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	8	13	112526941	112527050	-	109	7	12	8	4
hek293_B_test	13:112516440-112527484	NM_001286278	NM_001286278,NM_006322,NM_001286277	9	13	112527373	112527484	-	111	9	14	12	2
hek293_B_test	X:140783175-140784659	NM_004065	NM_004065	0	X	140783259	140784558	-	1299	28	78	30	48
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	18	9	85669484	85669578	-	94	5	12	6	6
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	19	9	85672549	85672681	-	132	3	9	4	5
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	20	9	85677435	85677582	-	147	1	1	0	1
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	21	9	85678334	85678398	-	64	1	1	0	1
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	22	9	85681267	85681335	-	68	2	4	4	0
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	23	9	85692688	85692813	-	125	2	8	4	4
hek293_B_test	9:85669485-85712566	NM_015239	NM_015239,NM_001286717,NM_001286715	24	9	85712501	85712566	-	65	5	12	6	6
hek293_B_test	14:96833467-96860735	NM_003384	NM_003384	1	14	96833466	96833631	+	165	33	55	32	23
