exon	relative_pos_in_circle	relative_pos_in_exon	coverage
0	1	1	31
0	2	2	31
0	3	3	31
0	4	4	31
0	5	5	30
0	6	6	29
0	7	7	29
0	8	8	29
0	9	9	29
0	10	10	29
0	11	11	29
0	12	12	29
0	13	13	29
0	14	14	28
0	15	15	28
0	16	16	28
0	17	17	25
0	18	18	25
0	19	19	25
0	20	20	25
0	21	21	25
0	22	22	25
0	23	23	25
0	24	24	25
0	25	25	25
0	26	26	25
0	27	27	25
0	28	28	25
0	29	29	25
0	30	30	24
0	31	31	24
0	32	32	22
0	33	33	22
0	34	34	22
0	35	35	22
0	36	36	22
0	37	37	22
0	38	38	22
0	39	39	22
0	40	40	22
0	41	41	22
0	42	42	22
0	43	43	22
0	44	44	22
0	45	45	22
0	46	46	22
0	47	47	21
0	48	48	21
0	49	49	21
0	50	50	21
0	51	51	21
0	52	52	21
0	53	53	21
0	54	54	21
0	55	55	21
0	56	56	21
0	57	57	20
0	58	58	19
0	59	59	19
0	60	60	19
0	61	61	18
0	62	62	18
0	63	63	18
0	64	64	18
0	65	65	18
0	66	66	18
0	67	67	18
0	68	68	18
0	69	69	17
0	70	70	17
0	71	71	17
0	72	72	17
0	73	73	17
0	74	74	17
0	75	75	17
0	76	76	17
0	77	77	17
0	78	78	17
0	79	79	17
0	80	80	17
0	81	81	17
0	82	82	17
0	83	83	17
0	84	84	17
0	85	85	15
0	86	86	15
0	87	87	15
0	88	88	14
0	89	89	14
0	90	90	14
0	91	91	14
0	92	92	14
0	93	93	14
0	94	94	14
0	95	95	14
0	96	96	14
0	97	97	14
0	98	98	14
0	99	99	14
0	100	100	14
0	101	101	14
0	102	102	14
0	103	103	14
0	104	104	12
0	105	105	10
0	106	106	8
0	107	107	8
0	108	108	8
0	109	109	6
0	110	110	6
0	111	111	4
0	112	112	4
0	113	113	4
0	114	114	4
0	115	115	4
0	116	116	4
0	117	117	4
0	118	118	4
0	119	119	4
0	120	120	4
0	121	121	4
0	122	122	4
0	123	123	4
0	124	124	4
0	125	125	4
0	126	126	4
0	127	127	4
0	128	128	4
0	129	129	4
0	130	130	4
0	131	131	4
0	132	132	4
0	133	133	4
0	134	134	4
0	135	135	4
0	136	136	4
0	137	137	4
0	138	138	4
0	139	139	4
0	140	140	4
0	141	141	4
0	142	142	4
0	143	143	4
0	144	144	4
0	145	145	4
0	146	146	4
0	147	147	4
0	148	148	4
0	149	149	3
0	150	150	3
0	151	151	3
0	152	152	3
0	153	153	3
0	154	154	2
0	155	155	2
0	156	156	2
0	157	157	2
0	158	158	2
0	159	159	2
0	160	160	2
0	161	161	2
0	162	162	2
0	163	163	2
0	164	164	1
0	165	165	1
0	166	166	1
0	167	167	1
0	168	168	1
0	169	169	1
0	170	170	1
0	171	171	1
0	172	172	1
0	173	173	1
0	174	174	1
0	175	175	1
0	176	176	1
0	177	177	1
0	178	178	1
0	179	179	1
0	180	180	1
0	181	181	1
0	182	182	1
0	183	183	1
0	184	184	1
0	185	185	1
0	186	186	1
0	187	187	1
0	188	188	1
0	189	189	1
0	190	190	1
0	191	191	1
0	192	192	1
0	193	193	1
0	194	194	1
0	195	195	1
0	196	196	1
0	197	197	1
0	198	198	1
0	199	199	1
0	200	200	1
0	201	201	1
0	202	202	1
0	203	203	1
0	204	204	0
0	205	205	0
0	206	206	0
0	207	207	0
0	208	208	0
0	209	209	0
0	210	210	0
0	211	211	0
0	212	212	0
0	213	213	0
0	214	214	0
0	215	215	0
0	216	216	0
0	217	217	0
0	218	218	0
0	219	219	0
0	220	220	0
0	221	221	0
0	222	222	0
0	223	223	0
0	224	224	0
0	225	225	0
0	226	226	0
0	227	227	0
0	228	228	0
0	229	229	0
0	230	230	0
0	231	231	0
0	232	232	0
0	233	233	0
0	234	234	0
0	235	235	0
0	236	236	0
0	237	237	0
0	238	238	0
0	239	239	0
0	240	240	0
0	241	241	0
0	242	242	0
0	243	243	0
0	244	244	0
0	245	245	1
0	246	246	1
0	247	247	1
0	248	248	1
0	249	249	1
0	250	250	1
0	251	251	1
0	252	252	1
0	253	253	1
0	254	254	1
0	255	255	1
0	256	256	1
0	257	257	1
0	258	258	1
0	259	259	1
