exon	relative_pos_in_circle	relative_pos_in_exon	coverage
7	1	1	6
7	2	2	6
7	3	3	6
7	4	4	6
7	5	5	6
7	6	6	6
7	7	7	6
7	8	8	6
7	9	9	6
7	10	10	6
7	11	11	6
7	12	12	6
7	13	13	6
7	14	14	6
7	15	15	6
7	16	16	6
7	17	17	6
7	18	18	6
7	19	19	6
7	20	20	6
7	21	21	6
7	22	22	6
7	23	23	6
7	24	24	6
7	25	25	6
7	26	26	6
7	27	27	6
7	28	28	6
7	29	29	6
7	30	30	6
7	31	31	6
7	32	32	6
7	33	33	6
7	34	34	6
7	35	35	6
7	36	36	6
7	37	37	6
7	38	38	6
7	39	39	6
7	40	40	6
7	41	41	6
7	42	42	6
7	43	43	6
7	44	44	6
7	45	45	6
7	46	46	6
7	47	47	6
7	48	48	6
7	49	49	6
7	50	50	6
7	51	51	6
7	52	52	5
7	53	53	4
7	54	54	4
7	55	55	4
7	56	56	4
7	57	57	4
7	58	58	3
7	59	59	3
7	60	60	3
7	61	61	3
7	62	62	3
7	63	63	3
7	64	64	3
7	65	65	3
7	66	66	3
7	67	67	3
7	68	68	3
7	69	69	3
7	70	70	3
7	71	71	3
7	72	72	3
7	73	73	3
7	74	74	3
7	75	75	3
7	76	76	3
7	77	77	3
7	78	78	3
7	79	79	3
7	80	80	3
7	81	81	3
7	82	82	3
7	83	83	3
7	84	84	3
7	85	85	3
7	86	86	3
7	87	87	3
7	88	88	3
7	89	89	3
7	90	90	3
7	91	91	3
7	92	92	3
7	93	93	3
7	94	94	3
7	95	95	3
7	96	96	3
7	97	97	3
7	98	98	3
7	99	99	3
7	100	100	3
7	101	101	3
7	102	102	3
7	103	103	3
7	104	104	3
7	105	105	3
7	106	106	3
7	107	107	3
7	108	108	3
7	109	109	3
7	110	110	3
7	111	111	3
7	112	112	3
7	113	113	3
7	114	114	3
7	115	115	3
7	116	116	3
7	117	117	3
7	118	118	3
7	119	119	3
7	120	120	3
7	121	121	3
7	122	122	3
7	123	123	3
7	124	124	3
7	125	125	3
7	126	126	3
7	127	127	3
7	128	128	3
7	129	129	3
7	130	130	3
7	131	131	3
7	132	132	3
7	133	133	3
7	134	134	3
7	135	135	3
7	136	136	3
7	137	137	3
7	138	138	3
7	139	139	3
7	140	140	3
7	141	141	3
7	142	142	3
7	143	143	3
7	144	144	3
7	145	145	3
7	146	146	3
7	147	147	3
7	148	148	3
7	149	149	3
7	150	150	3
7	151	151	3
7	152	152	3
7	153	153	2
7	154	154	2
7	155	155	2
7	156	156	2
7	157	157	2
7	158	158	2
7	159	159	2
7	160	160	2
7	161	161	2
7	162	162	2
7	163	163	2
7	164	164	2
7	165	165	2
7	166	166	2
7	167	167	2
7	168	168	2
7	169	169	2
7	170	170	2
7	171	171	2
7	172	172	2
7	173	173	2
7	174	174	2
7	175	175	2
7	176	176	2
7	177	177	2
7	178	178	2
7	179	179	2
7	180	180	2
7	181	181	2
7	182	182	2
7	183	183	2
7	184	184	2
7	185	185	2
7	186	186	2
7	187	187	2
7	188	188	1
8	189	1	1
8	190	2	1
8	191	3	1
8	192	4	1
8	193	5	1
8	194	6	1
8	195	7	1
8	196	8	1
8	197	9	1
8	198	10	1
8	199	11	1
8	200	12	1
8	201	13	1
8	202	14	1
8	203	15	1
8	204	16	1
8	205	17	1
8	206	18	1
8	207	19	1
8	208	20	1
8	209	21	1
8	210	22	1
8	211	23	1
8	212	24	1
8	213	25	1
8	214	26	1
8	215	27	1
8	216	28	1
8	217	29	1
8	218	30	1
8	219	31	1
8	220	32	1
8	221	33	1
8	222	34	1
8	223	35	1
8	224	36	1
8	225	37	0
8	226	38	0
8	227	39	0
8	228	40	0
8	229	41	0
8	230	42	0
8	231	43	0
8	232	44	0
8	233	45	0
8	234	46	0
8	235	47	0
8	236	48	0
8	237	49	0
8	238	50	0
8	239	51	0
8	240	52	0
8	241	53	0
8	242	54	0
8	243	55	0
8	244	56	0
8	245	57	0
8	246	58	0
8	247	59	0
8	248	60	0
8	249	61	0
8	250	62	0
8	251	63	0
8	252	64	0
8	253	65	0
8	254	66	0
8	255	67	0
8	256	68	0
8	257	69	0
8	258	70	0
8	259	71	0
8	260	72	0
8	261	73	0
8	262	74	0
8	263	75	0
8	264	76	0
8	265	77	0
8	266	78	0
8	267	79	0
8	268	80	0
8	269	81	0
8	270	82	0
8	271	83	0
8	272	84	0
8	273	85	0
8	274	86	0
8	275	87	0
8	276	88	0
8	277	89	0
8	278	90	0
8	279	91	0
8	280	92	0
8	281	93	0
8	282	94	0
8	283	95	0
8	284	96	0
8	285	97	0
8	286	98	0
8	287	99	0
8	288	100	0
8	289	101	0
8	290	102	0
8	291	103	0
8	292	104	0
8	293	105	0
8	294	106	0
8	295	107	0
8	296	108	0
8	297	109	0
8	298	110	0
8	299	111	0
8	300	112	0
8	301	113	0
8	302	114	0
8	303	115	0
8	304	116	0
8	305	117	0
8	306	118	0
8	307	119	0
8	308	120	0
8	309	121	0
8	310	122	0
8	311	123	0
8	312	124	0
8	313	125	0
8	314	126	0
8	315	127	0
8	316	128	0
8	317	129	0
8	318	130	0
8	319	131	0
8	320	132	0
8	321	133	0
8	322	134	0
8	323	135	0
8	324	136	0
8	325	137	0
8	326	138	0
8	327	139	0
8	328	140	0
8	329	141	0
8	330	142	0
8	331	143	0
8	332	144	0
8	333	145	0
8	334	146	0
8	335	147	0
8	336	148	0
8	337	149	0
8	338	150	0
8	339	151	0
8	340	152	0
8	341	153	0
8	342	154	0
8	343	155	0
8	344	156	0
8	345	157	0
8	346	158	0
8	347	159	0
8	348	160	0
8	349	161	0
8	350	162	0
8	351	163	0
8	352	164	0
8	353	165	0
8	354	166	0
8	355	167	0
8	356	168	0
8	357	169	0
8	358	170	0
8	359	171	0
8	360	172	0
8	361	173	0
8	362	174	0
8	363	175	0
8	364	176	0
8	365	177	0
8	366	178	0
8	367	179	0
8	368	180	0
8	369	181	0
8	370	182	0
8	371	183	0
8	372	184	0
8	373	185	0
8	374	186	0
8	375	187	0
8	376	188	0
8	377	189	0
8	378	190	0
8	379	191	0
8	380	192	0
8	381	193	0
8	382	194	0
8	383	195	0
8	384	196	0
8	385	197	0
8	386	198	0
8	387	199	0
8	388	200	0
8	389	201	0
8	390	202	0
8	391	203	0
8	392	204	0
8	393	205	0
8	394	206	0
8	395	207	0
8	396	208	0
8	397	209	0
8	398	210	0
8	399	211	0
8	400	212	0
8	401	213	0
8	402	214	0
8	403	215	0
8	404	216	0
8	405	217	0
8	406	218	0
8	407	219	0
8	408	220	0
8	409	221	0
8	410	222	0
8	411	223	0
8	412	224	0
8	413	225	0
8	414	226	0
8	415	227	0
9	416	1	0
9	417	2	0
9	418	3	0
9	419	4	0
9	420	5	0
9	421	6	0
9	422	7	0
9	423	8	0
9	424	9	0
9	425	10	0
9	426	11	0
9	427	12	0
9	428	13	0
9	429	14	0
9	430	15	0
9	431	16	0
9	432	17	0
9	433	18	0
9	434	19	0
9	435	20	0
9	436	21	0
9	437	22	0
9	438	23	0
9	439	24	0
9	440	25	0
9	441	26	0
9	442	27	0
9	443	28	0
9	444	29	0
9	445	30	0
9	446	31	1
9	447	32	2
9	448	33	2
9	449	34	2
9	450	35	2
9	451	36	2
9	452	37	3
9	453	38	3
9	454	39	3
9	455	40	3
9	456	41	3
9	457	42	3
9	458	43	3
9	459	44	3
9	460	45	3
9	461	46	3
9	462	47	3
9	463	48	3
9	464	49	3
9	465	50	3
9	466	51	3
9	467	52	3
9	468	53	3
9	469	54	3
9	470	55	3
9	471	56	3
9	472	57	3
9	473	58	3
9	474	59	3
9	475	60	3
9	476	61	3
9	477	62	3
9	478	63	3
9	479	64	3
9	480	65	3
9	481	66	3
9	482	67	3
9	483	68	3
9	484	69	3
9	485	70	3
9	486	71	3
9	487	72	3
9	488	73	3
9	489	74	3
9	490	75	3
9	491	76	3
9	492	77	3
9	493	78	3
9	494	79	3
9	495	80	3
9	496	81	3
9	497	82	3
9	498	83	3
9	499	84	3
9	500	85	3
9	501	86	3
9	502	87	3
9	503	88	3
9	504	89	3
9	505	90	3
9	506	91	3
9	507	92	3
9	508	93	3
9	509	94	3
9	510	95	3
9	511	96	3
9	512	97	3
9	513	98	3
9	514	99	3
9	515	100	3
9	516	101	3
9	517	102	3
9	518	103	3
9	519	104	3
9	520	105	3
9	521	106	3
9	522	107	3
9	523	108	3
9	524	109	3
9	525	110	3
9	526	111	3
9	527	112	3
9	528	113	3
