exon	relative_pos_in_circle	relative_pos_in_exon	coverage
3	1	1	3
3	2	2	3
3	3	3	3
3	4	4	3
3	5	5	3
3	6	6	3
3	7	7	3
3	8	8	3
3	9	9	3
3	10	10	3
3	11	11	3
3	12	12	3
3	13	13	3
3	14	14	3
3	15	15	3
3	16	16	3
3	17	17	3
3	18	18	3
3	19	19	3
3	20	20	3
3	21	21	3
3	22	22	3
3	23	23	3
3	24	24	3
3	25	25	3
3	26	26	3
3	27	27	3
3	28	28	3
3	29	29	3
3	30	30	3
3	31	31	3
3	32	32	3
3	33	33	3
3	34	34	3
3	35	35	3
3	36	36	3
3	37	37	3
3	38	38	3
3	39	39	3
3	40	40	2
3	41	41	1
3	42	42	1
3	43	43	1
3	44	44	1
3	45	45	1
3	46	46	1
3	47	47	1
3	48	48	1
3	49	49	1
3	50	50	1
3	51	51	1
3	52	52	1
3	53	53	1
3	54	54	1
3	55	55	1
3	56	56	1
3	57	57	0
3	58	58	0
3	59	59	0
3	60	60	0
3	61	61	0
3	62	62	0
3	63	63	0
3	64	64	0
3	65	65	0
3	66	66	0
3	67	67	0
3	68	68	0
3	69	69	0
3	70	70	0
3	71	71	0
3	72	72	0
3	73	73	0
3	74	74	0
3	75	75	0
3	76	76	0
3	77	77	0
3	78	78	0
3	79	79	0
3	80	80	0
3	81	81	0
3	82	82	0
3	83	83	0
3	84	84	0
3	85	85	0
3	86	86	0
3	87	87	0
3	88	88	0
3	89	89	0
3	90	90	0
3	91	91	0
3	92	92	0
3	93	93	0
3	94	94	0
3	95	95	0
3	96	96	0
3	97	97	0
3	98	98	0
3	99	99	0
3	100	100	0
3	101	101	0
3	102	102	0
3	103	103	0
3	104	104	0
3	105	105	0
3	106	106	0
3	107	107	0
3	108	108	0
3	109	109	0
3	110	110	0
3	111	111	0
3	112	112	0
3	113	113	0
3	114	114	0
3	115	115	0
3	116	116	0
3	117	117	0
3	118	118	0
3	119	119	0
3	120	120	0
3	121	121	0
3	122	122	0
3	123	123	0
3	124	124	0
3	125	125	0
3	126	126	0
3	127	127	0
3	128	128	0
3	129	129	0
3	130	130	0
3	131	131	0
3	132	132	0
3	133	133	0
3	134	134	0
3	135	135	0
3	136	136	0
3	137	137	0
3	138	138	0
3	139	139	0
3	140	140	0
3	141	141	0
3	142	142	0
3	143	143	0
3	144	144	0
3	145	145	0
3	146	146	0
3	147	147	0
3	148	148	0
3	149	149	0
3	150	150	0
3	151	151	0
3	152	152	0
3	153	153	0
4	154	0	0
4	155	1	0
4	156	2	0
4	157	3	0
4	158	4	0
4	159	5	0
4	160	6	0
4	161	7	0
4	162	8	0
4	163	9	0
4	164	10	0
4	165	11	0
4	166	12	0
4	167	13	0
4	168	14	0
4	169	15	0
4	170	16	0
4	171	17	0
4	172	18	0
4	173	19	0
4	174	20	0
4	175	21	0
4	176	22	0
4	177	23	0
4	178	24	0
4	179	25	0
4	180	26	0
4	181	27	0
4	182	28	0
4	183	29	0
4	184	30	0
4	185	31	0
4	186	32	0
4	187	33	0
4	188	34	0
4	189	35	0
4	190	36	0
4	191	37	0
4	192	38	0
4	193	39	0
4	194	40	0
4	195	41	0
4	196	42	0
4	197	43	0
4	198	44	0
4	199	45	0
4	200	46	0
4	201	47	0
4	202	48	0
4	203	49	0
5	204	0	0
5	205	1	0
5	206	2	0
5	207	3	0
5	208	4	0
5	209	5	0
5	210	6	0
5	211	7	0
5	212	8	0
5	213	9	0
5	214	10	0
5	215	11	0
5	216	12	0
5	217	13	0
5	218	14	0
5	219	15	0
5	220	16	0
5	221	17	0
5	222	18	0
5	223	19	0
5	224	20	0
5	225	21	0
5	226	22	0
5	227	23	0
5	228	24	0
5	229	25	0
5	230	26	0
5	231	27	0
5	232	28	0
5	233	29	0
5	234	30	0
5	235	31	0
5	236	32	0
5	237	33	0
5	238	34	0
5	239	35	0
5	240	36	0
5	241	37	0
5	242	38	0
5	243	39	0
5	244	40	0
5	245	41	0
5	246	42	0
5	247	43	0
5	248	44	0
5	249	45	0
5	250	46	0
5	251	47	0
5	252	48	0
5	253	49	0
6	254	0	0
6	255	1	0
6	256	2	0
6	257	3	0
6	258	4	0
6	259	5	0
6	260	6	0
6	261	7	0
6	262	8	0
6	263	9	0
6	264	10	0
6	265	11	0
6	266	12	0
6	267	13	0
6	268	14	0
6	269	15	0
6	270	16	0
6	271	17	0
6	272	18	0
6	273	19	0
6	274	20	0
6	275	21	0
6	276	22	0
6	277	23	0
6	278	24	0
6	279	25	0
6	280	26	0
6	281	27	0
6	282	28	0
6	283	29	0
6	284	30	0
6	285	31	0
6	286	32	0
6	287	33	0
6	288	34	0
6	289	35	0
6	290	36	0
6	291	37	0
6	292	38	0
6	293	39	0
6	294	40	0
6	295	41	0
6	296	42	0
6	297	43	0
6	298	44	0
6	299	45	0
6	300	46	0
6	301	47	0
6	302	48	0
6	303	49	0
7	304	0	0
7	305	1	0
7	306	2	0
7	307	3	0
7	308	4	0
7	309	5	0
7	310	6	0
7	311	7	0
7	312	8	0
7	313	9	0
7	314	10	0
7	315	11	0
7	316	12	0
7	317	13	0
7	318	14	0
7	319	15	0
7	320	16	0
7	321	17	0
7	322	18	0
7	323	19	0
7	324	20	0
7	325	21	0
7	326	22	0
7	327	23	0
7	328	24	0
7	329	25	0
7	330	26	0
7	331	27	0
7	332	28	0
7	333	29	0
7	334	30	0
7	335	31	0
7	336	32	0
7	337	33	0
7	338	34	0
7	339	35	0
7	340	36	0
7	341	37	0
7	342	38	0
7	343	39	0
7	344	40	0
7	345	41	0
7	346	42	0
7	347	43	0
7	348	44	0
7	349	45	0
7	350	46	0
7	351	47	0
7	352	48	0
7	353	49	0
8	354	1	3
8	355	2	3
8	356	3	3
8	357	4	3
8	358	5	3
8	359	6	3
8	360	7	3
8	361	8	3
8	362	9	3
8	363	10	3
8	364	11	3
8	365	12	3
8	366	13	3
8	367	14	3
8	368	15	3
8	369	16	3
8	370	17	3
8	371	18	3
8	372	19	3
8	373	20	3
8	374	21	3
8	375	22	3
8	376	23	3
8	377	24	3
8	378	25	3
8	379	26	3
8	380	27	3
8	381	28	3
8	382	29	3
8	383	30	3
8	384	31	3
8	385	32	3
8	386	33	3
8	387	34	3
8	388	35	3
8	389	36	4
8	390	37	4
8	391	38	4
8	392	39	4
8	393	40	4
8	394	41	4
8	395	42	4
8	396	43	4
8	397	44	4
8	398	45	4
8	399	46	4
8	400	47	4
8	401	48	4
8	402	49	4
8	403	50	4
8	404	51	4
8	405	52	4
8	406	53	4
8	407	54	5
8	408	55	5
8	409	56	5
8	410	57	5
8	411	58	5
8	412	59	5
8	413	60	5
8	414	61	5
8	415	62	5
8	416	63	5
8	417	64	5
8	418	65	5
8	419	66	5
8	420	67	5
8	421	68	5
8	422	69	5
8	423	70	5
8	424	71	5
8	425	72	5
8	426	73	5
8	427	74	5
8	428	75	5
8	429	76	5
8	430	77	5
8	431	78	5
8	432	79	5
8	433	80	5
8	434	81	5
8	435	82	5
8	436	83	5
8	437	84	5
8	438	85	5
8	439	86	5
8	440	87	6
8	441	88	7
8	442	89	7
8	443	90	7
8	444	91	7
8	445	92	7
8	446	93	7
8	447	94	7
8	448	95	7
8	449	96	7
8	450	97	7
8	451	98	7
8	452	99	7
8	453	100	7
8	454	101	7
8	455	102	7
8	456	103	7
8	457	104	8
8	458	105	8
8	459	106	8
8	460	107	8
8	461	108	8
8	462	109	8
8	463	110	8
8	464	111	8
8	465	112	8
8	466	113	8
8	467	114	8
8	468	115	8
8	469	116	8
8	470	117	8
8	471	118	8
8	472	119	8
8	473	120	8
8	474	121	8
8	475	122	8
8	476	123	8
8	477	124	8
8	478	125	8
8	479	126	8
8	480	127	8
8	481	128	8
8	482	129	8
8	483	130	8
8	484	131	8
8	485	132	8
8	486	133	8
8	487	134	8
8	488	135	8
8	489	136	8
8	490	137	8
8	491	138	8
8	492	139	8
8	493	140	8
8	494	141	8
8	495	142	8
8	496	143	8
