circle_id	transcript_ids	num_reads	min_length	max_length	single	double	undefined
10_101667886_101676436	NM_022039	5	509	509	5	0	0
10_124940374_124943307	NM_017580	4	1185	1185	3	1	0
10_124942457_124943307	NM_017580	19	850	850	18	1	0
10_5785142_5800705	NM_001115156,NM_001494	9	538	673	9	0	0
10_68468123_68470163	NM_001080449,NR_102264	4	366	366	1	3	0
10_7243558_7285954	NM_001018039,NM_001029880	5	683	683	5	0	0
10_7797047_7802854	NM_005174,NM_001001973	7	798	798	7	0	0
10_84371014_84373815	NM_001284241,NM_001284240,NM_018999	4	1652	1652	4	0	0
11_103303093_103323990	NM_001377,NM_001080463	4	943	943	4	0	0
11_121045674_121060085	NM_001130047,NM_152715	4	972	972	4	0	0
11_130260856_130261929	NM_014155,NM_001301098,NM_001301099	19	1073	1073	17	2	0
11_32927157_32935435	NM_001076786	5	3967	3967	5	0	0
11_33286413_33287511	NM_001278163,NM_001278162,NM_001048200,NM_005734	22	1098	1098	20	2	0
11_92352096_92355404	NM_001008781	11	3308	3308	10	1	0
12_116230533_116237705	NM_015335	4	238	238	4	0	0
12_1236769_1290012	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	9	296	428	8	1	0
12_46229153_46243314	NM_001278390,NM_001077484,NM_001278389,NM_001278388,NM_001278387,NM_030674	4	406	521	4	0	0
12_69251129_69262562	NM_001300947,NM_007007	9	1598	1709	9	0	0
12_69589485_69593613	NM_006431,NM_001198842	5	535	535	5	0	0
12_95208843_95211267	NM_018351	4	2424	2424	4	0	0
13_112516440_112527484	NM_001286278,NM_006322,NM_001286277	6	750	750	5	1	0
13_50927407_50949505	NM_001142279,NM_024570	4	676	676	4	0	0
13_95757644_95763953	NM_006260	4	681	681	4	0	0
14_21503173_21503881	NM_019852	6	622	622	6	0	0
14_32090502_32094386	NM_001030055,NM_001173	19	3884	3884	17	2	0
14_32090502_32117287	NM_001030055,NM_001173	6	4029	4032	5	1	0
14_96833467_96860735	NM_003384	18	1072	1072	16	2	0
14_99458279_99465813	NM_199123,NM_032233	36	682	682	33	3	0
15_41668828_41669958	NM_001080541,NM_001164273	13	1130	1130	13	0	0
15_41696075_41699159	NM_001080541,NM_001164273	6	1123	1123	6	0	0
15_64499293_64500166	NM_015042	8	747	747	8	0	0
15_74655733_74675142	NM_001142443,NM_025083,NM_001142444	5	837	837	5	0	0
16_18841565_18845651	NM_015092	4	699	699	4	0	0
16_31090775_31091342	NM_024006,NM_206824	4	489	489	3	1	0
16_68121987_68126610	NM_004555,NM_173165,NM_173163	9	1297	1297	9	0	0
17_20204333_20205912	NM_001243439,NM_001243438,NM_152904,NM_001033553,NM_001033555,NM_001033554	32	1579	1579	26	6	0
17_47663089_47668410	NM_002265,NM_001276453	4	527	527	4	0	0
17_67945409_67975958	NM_004459,NM_182641	6	1596	2025	6	0	0
18_12999421_13019206	NM_032142	14	1053	1053	14	0	0
18_21765772_21779685	NM_020774	15	678	678	14	1	0
18_9182382_9221999	NM_001204056,NM_001083625,NM_015208	4	924	993	4	0	0
19_17101660_17102557	NM_001130065,NM_004145	4	897	897	4	0	0
19_34451981_34467014	NM_005499	7	869	869	6	1	0
19_46918488_46937408	NM_004491	4	3826	3826	4	0	0
1_117402186_117405645	NM_006699	4	352	352	3	1	0
1_117402186_117414831	NM_006699	11	471	471	10	1	0
1_117402186_117420649	NM_006699	40	552	552	38	2	0
1_117402186_117442325	NM_006699	15	647	647	13	2	0
1_155438327_155439068	NM_018489	4	741	741	4	0	0
1_155438327_155459898	NM_018489	4	843	843	3	1	0
1_15872816_15876678	NM_015001	9	797	797	9	0	0
1_20749723_20773610	NM_016287	4	790	790	4	0	0
1_223954477_223962273	NR_132119	5	255	255	4	1	0
1_224952670_224974153	NM_144989,NM_001373,NM_001145154	8	862	928	6	2	0
1_224952670_225007544	NM_144989,NM_001373,NM_001145154	11	928	1139	11	0	0
1_247155566_247159813	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	5	188	2025	5	0	0
1_247156406_247159813	NM_001297568,NM_001297569,NM_001297567,NM_003431,NM_001243740	4	188	1185	4	0	0
1_31915895_31919658	NM_001195101,NM_001195100,NM_080391	7	689	781	7	0	0
1_35358925_35361789	NM_005095	9	754	754	9	0	0
1_47280241_47282459	NM_001282937,NM_001282936,NM_001282939,NM_001282938,NM_003035,NM_001048166	7	1083	1083	6	1	0
1_58506060_58536741	NM_145243	5	864	864	4	1	0
1_58506060_58539310	NM_145243	6	1380	1380	6	0	0
1_84865385_84866138	NM_012152	6	753	753	6	0	0
1_8655973_8656441	NM_001042681,NM_012102	5	468	468	4	1	0
20_35714185_35725155	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	7	679	679	7	0	0
20_41533050_41551360	NM_032221	5	576	576	4	1	0
20_47276314_47287284	NM_012408,NM_183047,NM_183048,NM_001281773,NM_001281781,NM_001281780,NM_001281783,NM_001281782,NM_001281778,NM_001281784,NM_001281774,NM_001281775,NM_001281776,NM_001281777,NM_001281771,NM_001281772,NM_001281779	4	731	862	4	0	0
20_56381433_56386533	NM_003600,NM_198433,NM_198434,NM_198435,NM_198436,NM_198437	7	662	662	7	0	0
20_62852317_62852353	NM_001301726	15	36	36	15	0	0
21_29321221_29329693	NM_206866,NR_027655,NM_001186	11	1835	1835	10	1	0
22_20933779_20934244	NM_005207	7	465	465	6	1	0
22_41808875_41813822	NM_024821,NM_001304797	4	240	579	4	0	0
22_45689712_45740538	NM_013236,NM_001167621	4	865	1056	3	1	0
22_45729425_45740538	NM_013236,NM_001167621	5	444	444	5	0	0
22_50372020_50394135	NM_001242898,NM_001242899,NM_001242900,NM_014678	4	373	373	4	0	0
2_207976651_207977586	NM_001080475	4	935	935	4	0	0
2_214767482_214781509	NM_000465,NM_001282543,NR_104216,NR_104212,NR_104215	4	253	1203	4	0	0
2_222220140_222232283	NM_181461,NM_001127366,NM_181459,NM_181457,NM_181458,NM_181460	4	586	586	4	0	0
2_99412731_99435941	NM_001037872,NM_016316	4	955	958	2	2	0
3_125313308_125331238	NM_021964	4	565	565	4	0	0
3_142736379_142748460	NM_003304,NM_001251845	4	357	459	3	1	0
3_158122103_158123991	NM_001271838,NM_001271834,NM_016625	7	321	321	6	1	0
3_56660731_56673725	NM_001112736,NM_015224	6	819	1036	6	0	0
3_8935871_8941804	NM_020165	7	622	622	6	1	0
4_112562371_112585725	NM_018392	4	780	780	3	1	0
4_148435104_148436862	NM_001166104,NM_000901	6	1758	1758	6	0	0
4_152411303_152412529	NM_033632,NM_001257069	11	569	619	11	0	0
4_177353308_177360677	NM_018248	7	595	595	5	2	0
4_186706563_186709845	NM_005245	12	3282	3282	12	0	0
4_1900626_1904378	NM_007331,NM_133330,NM_133331,NM_133334,NM_133335,NM_001042424	5	788	788	5	0	0
4_51863437_51877854	NM_001040402,NM_001287757,NM_015115,NM_001287755	4	317	317	4	0	0
4_55411614_55417985	NM_018475,NR_073070	9	584	584	9	0	0
4_76134175_76144473	NR_103782,NR_103781,NM_001278603,NR_103780,NM_017426	6	228	642	6	0	0
5_123545417_123557564	NM_004384,NM_001270573,NM_001031812,NM_001270572,NM_001044723	5	111	535	4	1	0
5_168488602_168494650	NM_002887	6	533	533	6	0	0
5_178885614_178931326	NM_030613	6	522	522	5	1	0
5_180261684_180280608	NM_001135044,NM_139068,NM_139069,NM_139070,NM_002752,NM_001308244	8	496	496	6	2	0
5_50399107_50411383	NM_198449	10	953	953	10	0	0
5_94643273_94654752	NM_032290	4	723	723	4	0	0
6_13632370_13644729	NM_005493	8	1019	1019	8	0	0
6_158282263_158314268	NM_020245,NM_001007466	6	1609	1609	6	0	0
6_158312051_158314268	NM_020245,NM_001007466	24	1609	1609	23	1	0
6_161034259_161049979	NR_120425,NM_001291958,NM_005922,NM_001301072,NM_006724	6	1554	1554	6	0	0
6_47283938_47286595	NM_014452	11	1146	1146	9	2	0
6_4891713_4892379	NR_026590,NM_001143970,NM_001143971,NM_004824	38	666	666	35	3	0
6_79042843_79060818	NM_017934	5	410	410	5	0	0
6_89862126_89871388	NM_001137667,NM_001137668,NM_012115	5	5475	5475	4	1	0
7_100023419_100024307	NM_003439,NM_001287054	18	577	667	17	1	0
7_127373342_127377329	NM_176814	4	1836	1836	4	0	0
7_129014979_129018157	NM_001191028,NM_012470,NR_034053	6	431	431	5	1	0
7_129205203_129206587	NM_005631	5	726	726	4	1	0
7_152309966_152315338	NM_170606	4	459	459	4	0	0
7_155672867_155680908	NM_053043	9	444	444	7	2	0
7_24623666_24668660	NM_001303037,NM_016447	5	1115	1115	4	1	0
7_39987599_40002031	NM_031267,NM_003718	7	1141	1141	4	3	0
8_141253989_141254629	NM_001286646	4	640	640	4	0	0
8_18765449_18804898	NM_015310,NM_206909	5	537	537	4	1	0
8_47279862_47294030	NM_001282916,NM_001282919,NR_104581,NM_001080394	10	424	491	8	2	0
9_100498765_100516771	NM_001198812,NM_003692	4	363	363	3	1	0
9_135881633_135883078	NM_015447	14	424	424	13	1	0
9_20819796_20823115	NM_017794	5	464	464	2	3	0
9_77214329_77227485	NM_001018037,NM_015186,NM_001018038,NM_033305	4	755	755	3	1	0
9_85618983_85633374	NM_015239,NM_001286717,NM_001286715	5	1032	1032	5	0	0
