exon	relative_pos_in_circle	relative_pos_in_exon	coverage
0	1	1	8
0	2	2	8
0	3	3	8
0	4	4	8
0	5	5	8
0	6	6	8
0	7	7	8
0	8	8	8
0	9	9	8
0	10	10	8
0	11	11	8
0	12	12	8
0	13	13	8
0	14	14	8
0	15	15	8
0	16	16	8
0	17	17	8
0	18	18	8
0	19	19	8
0	20	20	8
0	21	21	8
0	22	22	8
0	23	23	8
0	24	24	8
0	25	25	8
0	26	26	8
0	27	27	8
0	28	28	8
0	29	29	8
0	30	30	8
0	31	31	8
0	32	32	8
0	33	33	8
0	34	34	8
0	35	35	7
0	36	36	7
0	37	37	7
0	38	38	7
0	39	39	7
0	40	40	7
0	41	41	7
0	42	42	7
0	43	43	7
0	44	44	7
0	45	45	7
0	46	46	7
0	47	47	7
0	48	48	7
0	49	49	7
0	50	50	7
0	51	51	7
0	52	52	7
0	53	53	7
0	54	54	7
0	55	55	7
0	56	56	7
0	57	57	7
0	58	58	7
0	59	59	7
0	60	60	7
0	61	61	7
0	62	62	7
0	63	63	7
0	64	64	7
0	65	65	7
0	66	66	7
0	67	67	7
0	68	68	7
0	69	69	7
0	70	70	7
0	71	71	7
0	72	72	7
0	73	73	7
0	74	74	7
0	75	75	7
0	76	76	7
0	77	77	7
0	78	78	7
0	79	79	7
0	80	80	7
0	81	81	7
0	82	82	7
0	83	83	7
0	84	84	7
0	85	85	7
0	86	86	7
0	87	87	7
0	88	88	7
0	89	89	7
0	90	90	7
0	91	91	7
0	92	92	7
0	93	93	7
0	94	94	7
0	95	95	7
0	96	96	7
0	97	97	7
0	98	98	7
0	99	99	7
0	100	100	7
0	101	101	7
0	102	102	7
0	103	103	7
0	104	104	7
0	105	105	7
0	106	106	7
0	107	107	7
0	108	108	6
0	109	109	6
0	110	110	6
0	111	111	6
0	112	112	6
0	113	113	6
0	114	114	6
0	115	115	6
0	116	116	6
0	117	117	6
0	118	118	6
0	119	119	6
0	120	120	6
0	121	121	6
0	122	122	6
0	123	123	6
0	124	124	6
0	125	125	6
0	126	126	6
0	127	127	6
0	128	128	6
0	129	129	6
0	130	130	6
0	131	131	6
0	132	132	6
0	133	133	6
0	134	134	6
0	135	135	4
0	136	136	4
0	137	137	4
0	138	138	4
0	139	139	4
0	140	140	4
0	141	141	2
0	142	142	2
0	143	143	2
0	144	144	2
0	145	145	2
0	146	146	2
0	147	147	2
0	148	148	2
0	149	149	3
0	150	150	3
0	151	151	3
0	152	152	3
0	153	153	3
0	154	154	5
0	155	155	5
0	156	156	5
0	157	157	5
0	158	158	5
0	159	159	5
