circle_id	length	cluster_id
10_124940374_124943307	1185	2
10_124942457_124943307	1185	2
10_84371014_84373815	1856	1
11_130260856_130261929	1074	2
11_32927157_32935435	3968	4
11_33286413_33287511	1099	2
11_92352096_92355404	3309	4
1_247155566_247159813	2603	2
1_247156406_247159813	2603	2
12_95208843_95211267	2425	4
14_32090502_32094386	3885	4
14_32090502_32117287	4033	4
1_47280241_47282459	1084	2
15_41668828_41669958	1131	2
15_41696075_41699159	1124	4
16_68121987_68126610	1298	4
17_20204333_20205912	1580	4
19_46918488_46937408	3826	4
20_62852317_62852353	1395	3
2_214767482_214781509	1173	2
4_148435104_148436862	1759	4
4_186706563_186709845	3283	4
5_178885614_178931326	2345	2
5_50399107_50411383	3570	2
6_158282263_158314268	1609	2
6_158312051_158314268	1609	2
6_161034259_161049979	1555	2
6_47283938_47286595	1147	2
6_89862126_89871388	5478	4
7_127373342_127377329	1837	4
7_39987599_40002031	1021	2
X_140783175_140784659	1299	4
