circle_id	transcript_id	skipped_exon	intron	read_names	splice_reads	exon_reads
5_50399107_50411383	NM_198449	5:50410876-50410965	set([('5', 50405853, 50411196)])	MISEQ:136:000000000-ACBC6:1:1109:6601:5968	1	6
X_140783175_140784659	NM_004065	X:140784273-140784456	set([('X', 140784273, 140784456)])	MISEQ:136:000000000-ACBC6:1:2105:5758:10166,MISEQ:136:000000000-ACBC6:1:2104:11137:4175	2	16
9_135881633_135883078	NM_015447	9:135881793-135881794	set([('9', 135881793, 135882815)])	MISEQ:136:000000000-ACBC6:1:2109:15183:11588	1	13
12_1027748_1028572	NR_027949	12:1027842-1028338	set([('12', 1027842, 1028338)])	MISEQ:136:000000000-ACBC6:1:2119:11799:24209	1	6
1_247155566_247159813	NM_001297568	1:247155696-247157403	set([('1', 247155696, 247159005)])	MISEQ:136:000000000-ACBC6:1:1102:8153:1849	1	6
1_247155566_247159813	NM_003431	1:247155693-247156405	set([('1', 247155693, 247156405)])	MISEQ:136:000000000-ACBC6:1:1118:21686:7795	1	4
1_247155566_247159813	NM_003431	1:247155696-247157217	set([('1', 247155696, 247159005), ('1', 247155696, 247157242)])	MISEQ:136:000000000-ACBC6:1:1102:8153:1849,MISEQ:136:000000000-ACBC6:1:1117:9766:8761	2	6
1_247155566_247159813	NM_001297568	1:247155696-247157242	set([('1', 247155696, 247157242)])	MISEQ:136:000000000-ACBC6:1:1117:9766:8761	1	6
1_247155566_247159813	NM_001297568	1:247157218-247157403	set([('1', 247157218, 247159005)])	MISEQ:136:000000000-ACBC6:1:1105:26909:5783	1	3
1_247155566_247159813	NM_001297569	1:247155696-247157207	set([('1', 247155696, 247159005), ('1', 247155696, 247157242)])	MISEQ:136:000000000-ACBC6:1:1102:8153:1849,MISEQ:136:000000000-ACBC6:1:1117:9766:8761	2	6
1_224952670_225007544	NM_001373	1:225002782-225002927	set([('1', 224974154, 225007412)])	MISEQ:136:000000000-ACBC6:1:2114:26709:9510	1	3
1_224952670_225007544	NM_001373	1:224974090-224974153	set([('1', 224968875, 225002782)])	MISEQ:136:000000000-ACBC6:1:2103:25575:14367	1	3
7_122113118_122133741	NM_005763	7:122115073-122115222	set([('7', 122113721, 122116632)])	MISEQ:136:000000000-ACBC6:1:1110:3955:6688	1	2
13_77719532_77753358	NM_001242869	13:77743015-77743165	set([('13', 77719672, 77744282)])	MISEQ:136:000000000-ACBC6:1:2110:17310:6256	1	2
1_224952670_224974153	NM_001373	1:224960152-224960302	set([('1', 224955099, 224964478)])	MISEQ:136:000000000-ACBC6:1:1111:6030:16176	1	3
17_4066447_4072756	NM_015113	17:4066537-4066540	set([('17', 4066537, 4067162)])	MISEQ:136:000000000-ACBC6:1:1106:8379:15128	1	2
10_7243558_7285954	NM_001029880	10:7283960-7284150	set([('10', 7283960, 7285865)])	MISEQ:136:000000000-ACBC6:1:2117:7251:12380	1	4
3_142736379_142748460	NM_001251845	3:142743484-142743586	set([('3', 142736534, 142748257)])	MISEQ:136:000000000-ACBC6:1:1107:12599:24170	1	10
