circle_id	length	cluster_id
10_12081472_12091684	785	3
10_124942457_124943307	1185	5
10_31908172_31910563	794	2
10_5773842_5800705	774	5
10_68459104_68470163	645	1
10_7243558_7285954	684	3
10_7276892_7285954	434	2
10_94030683_94032252	1570	4
11_117152441_117163892	400	2
11_130260856_130261929	1074	3
1_117402186_117414831	472	5
1_117402186_117420649	553	1
1_117402186_117442325	648	5
11_33286413_33287511	1099	3
1_155438327_155459898	844	5
1_15872816_15876678	798	5
11_66639700_66640123	424	1
11_92352096_92355404	3309	4
1_20749723_20773610	791	6
12_100282943_100298175	508	5
12_1027748_1028572	825	5
12_104927973_104928694	722	5
12_116230533_116237705	238	5
12_1180540_1190052	614	1
12_1236769_1290012	429	1
12_1236769_1371977	574	5
1_22078429_22086866	536	2
1_224952670_224974153	863	6
1_224952670_225007544	1140	3
1_226961377_226965737	664	1
1_232513857_232515608	1641	2
1_243545510_243843282	1078	2
1_243613671_243843282	808	2
1_247155566_247159813	2603	1
1_247156406_247159813	2603	5
12_69251129_69262562	1475	3
13_112516440_112527484	751	1
1_31915895_31919658	782	1
1_35358925_35361789	755	3
13_75560753_75569507	420	5
13_77719532_77753358	788	3
1_41070595_41075451	360	6
1_41113283_41143112	568	1
14_30877572_30880734	547	1
14_32090502_32094386	3885	4
14_32090502_32117287	4033	4
1_47280241_47282459	1084	5
14_96833467_96860735	1073	3
14_99458279_99465813	683	5
15_32526813_32533368	1022	2
15_41668828_41669958	1131	3
15_64499293_64500166	747	4
15_69210316_69261329	933	4
1_58506060_58539310	1078	3
16_68121987_68123121	1135	2
16_68121987_68126610	1298	3
17_20204333_20205912	1580	3
17_4066447_4072756	564	5
18_12999421_13019206	1054	2
18_21765772_21779685	679	6
18_21765772_21819646	1287	5
1_84865385_84866138	754	5
1_8495063_8557523	582	5
19_34451981_34464131	733	6
20_35714185_35725155	680	5
20_62852317_62852353	1395	5
21_29321221_29329693	1836	4
2_189791790_189818180	602	6
2_207976651_207977586	936	3
2_214767482_214781509	1204	3
22_20933779_20934244	466	5
22_45689712_45740538	1057	2
22_45729425_45740538	445	1
22_50372020_50394135	374	5
2_61522611_61533903	307	6
3_142736379_142748460	460	1
3_158122103_158123991	322	5
3_49967470_49975392	1439	3
3_56660731_56673725	1037	3
3_8935871_8941804	623	1
4_1225360_1241519	702	2
4_152411303_152412529	763	5
4_177353308_177360677	596	6
4_185247294_185267155	662	5
4_186706563_186709845	3283	4
4_1900626_1904378	789	6
4_87046166_87047594	1021	3
4_87195324_87195690	367	5
5_123545417_123557564	536	1
5_168488602_168494650	534	5
5_178885614_178931326	2345	2
5_180261684_180280608	497	1
5_50399107_50411383	3864	5
5_65567513_65572286	773	3
5_69174877_69175537	378	5
5_74813840_74841679	673	3
5_79439010_79457018	522	1
5_94643273_94654752	724	6
6_158282263_158314268	1609	5
6_158312051_158314268	1609	5
6_18236452_18258405	902	2
6_47283938_47286595	1147	6
6_4891713_4892379	667	6
6_79042843_79060818	633	5
7_100023419_100024307	578	4
7_122113118_122133741	1114	3
7_127373342_127377329	1837	3
7_135577796_135593192	1182	3
7_24623666_24668660	1034	3
7_39987599_40002031	1142	3
8_127890589_127890998	371	5
8_18765449_18804898	538	5
9_135881633_135883078	425	1
9_83678441_83686155	690	3
9_85669485_85712566	695	1
9_92256680_92269983	932	3
X_131743096_131794466	698	4
X_131749306_131785258	702	4
X_131749306_131794466	845	3
X_140783175_140784659	1299	4
X_14843660_14859334	1601	5
X_85247547_85270146	1134	2
