circle_id	length	cluster_id
10_124942457_124943307	1185	3
10_94030683_94032252	1570	1
11_130260856_130261929	1074	1
11_33286413_33287511	1099	1
11_92352096_92355404	3309	1
1_224952670_225007544	1140	4
1_232513857_232515608	1641	4
1_243545510_243843282	1078	4
1_247155566_247159813	2603	2
1_247156406_247159813	2603	2
12_69251129_69262562	1475	1
14_32090502_32094386	3885	1
14_32090502_32117287	4033	1
1_47280241_47282459	1084	2
14_96833467_96860735	1073	4
15_32526813_32533368	1022	4
15_41668828_41669958	1131	1
1_58506060_58539310	1078	1
16_68121987_68123121	1135	4
16_68121987_68126610	1298	1
17_20204333_20205912	1580	1
18_12999421_13019206	1054	4
18_21765772_21819646	1287	1
20_62852317_62852353	1395	2
21_29321221_29329693	1836	1
2_214767482_214781509	1204	1
22_45689712_45740538	1057	4
3_49967470_49975392	1439	1
3_56660731_56673725	1037	1
4_186706563_186709845	3283	1
4_87046166_87047594	1021	4
5_178885614_178931326	2345	4
5_50399107_50411383	3864	2
6_158282263_158314268	1609	2
6_158312051_158314268	1609	2
6_47283938_47286595	1147	4
7_122113118_122133741	1114	1
7_127373342_127377329	1837	1
7_135577796_135593192	1182	1
7_24623666_24668660	1034	1
7_39987599_40002031	1142	1
X_140783175_140784659	1299	1
X_14843660_14859334	1601	2
X_85247547_85270146	1134	4
