sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
github_testdata_20160111	10_31908172_31910563	NM_001270698	NM_001270699,NM_001270698,NM_001270697,NM_001270696,NM_001270695,NM_018287	14	10	31908169	31908412	-	243	17	50	26	24
github_testdata_20160111	10_31908172_31910563	NM_001270698	NM_001270699,NM_001270698,NM_001270697,NM_001270696,NM_001270695,NM_018287	15	10	31910524	31910564	-	40	16	19	11	8
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	1	10	115120181	115120268	+	87	5	7	4	3
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	2	10	115121698	115121812	+	114	5	6	1	5
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	3	10	115127588	115127721	+	133	3	3	0	3
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	4	10	115129326	115129460	+	134	3	3	1	2
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	5	10	115160037	115160214	+	177	4	4	4	0
github_testdata_20160111	10_115120185_115165645	NM_207303	NM_207303,NM_001276282,NR_074088	6	10	115165557	115165647	+	90	5	6	4	2
github_testdata_20160111	10_124940374_124943307	NM_017580	NM_017580	0	10	124942456	124942525	+	69	5	12	7	5
github_testdata_20160111	10_49915917_49935142	NM_001303486	NM_001303487,NM_001303486,NR_130169,NR_130168,NM_003631	14	10	49932095	49932221	-	126	3	3	0	3
github_testdata_20160111	10_49915917_49935142	NM_001303486	NM_001303487,NM_001303486,NR_130169,NR_130168,NM_003631	15	10	49933176	49933351	-	175	6	8	5	3
github_testdata_20160111	10_49915917_49935142	NM_001303486	NM_001303487,NM_001303486,NR_130169,NR_130168,NM_003631	16	10	49935075	49935144	-	69	4	4	2	2
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	7	10	15833627	15833711	-	84	6	6	4	2
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	8	10	15834542	15834618	-	76	5	5	3	2
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	9	10	15837202	15837293	-	91	5	5	2	3
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	10	10	15838227	15838279	-	52	6	6	2	4
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	11	10	15841425	15841601	-	176	6	8	3	5
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	12	10	15843211	15843274	-	63	6	7	4	3
github_testdata_20160111	10_15833630_15847943	NM_024948	NM_024948	13	10	15847862	15847943	-	81	6	6	4	2
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	5	10	15816833	15816917	-	84	5	7	4	3
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	6	10	15821653	15821726	-	73	5	8	4	4
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	7	10	15833629	15833711	-	82	4	5	2	3
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	8	10	15834542	15834587	-	45	3	3	1	2
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	9	10	15837202	15837318	-	116	2	2	1	1
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	10	10	15838227	15838279	-	52	1	1	1	0
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	11	10	15841425	15841554	-	129	2	3	1	2
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	12	10	15843211	15843274	-	63	4	5	2	3
github_testdata_20160111	10_15816835_15847943	NM_024948	NM_024948	13	10	15847862	15847945	-	83	5	7	4	3
github_testdata_20160111	10_115120185_115129535	NM_207303	NM_207303,NM_001276282,NR_074088	1	10	115120182	115120268	+	86	5	10	5	5
github_testdata_20160111	10_115120185_115129535	NM_207303	NM_207303,NM_001276282,NR_074088	2	10	115121698	115121772	+	74	4	8	4	4
github_testdata_20160111	10_115120185_115129535	NM_207303	NM_207303,NM_001276282,NR_074088	3	10	115127588	115127654	+	66	4	4	0	4
github_testdata_20160111	10_115120185_115129535	NM_207303	NM_207303,NM_001276282,NR_074088	4	10	115129342	115129537	+	195	5	9	5	4
github_testdata_20160111	10_84371014_84373815	NM_001284241	NM_001284241,NM_001284240,NM_018999	1	10	84371013	84371075	+	62	6	15	8	7
github_testdata_20160111	10_84371014_84373815	NM_001284241	NM_001284241,NM_001284240,NM_018999	2	10	84373617	84373815	+	198	6	9	4	5
github_testdata_20160111	10_124942457_124943307	NM_017580	NM_017580	0	10	124942455	124942557	+	102	32	101	51	50
github_testdata_20160111	10_7243558_7285954	NM_001018039	NM_001018039,NM_001029880	12	10	7243557	7243707	-	150	10	12	4	8
github_testdata_20160111	10_7243558_7285954	NM_001018039	NM_001018039,NM_001029880	13	10	7248545	7248627	-	82	8	10	3	7
github_testdata_20160111	10_7243558_7285954	NM_001018039	NM_001018039,NM_001029880	14	10	7276890	7276992	-	102	6	6	2	4
