exon	relative_pos_in_circle	relative_pos_in_exon	coverage
27	1	1	6
27	2	2	6
27	3	3	6
27	4	4	6
27	5	5	6
27	6	6	6
27	7	7	6
27	8	8	6
27	9	9	6
27	10	10	6
27	11	11	6
27	12	12	6
27	13	13	6
27	14	14	6
27	15	15	6
27	16	16	6
27	17	17	6
27	18	18	6
27	19	19	6
27	20	20	6
27	21	21	6
27	22	22	6
27	23	23	6
27	24	24	6
27	25	25	6
27	26	26	6
27	27	27	6
27	28	28	6
27	29	29	6
27	30	30	6
27	31	31	6
27	32	32	6
27	33	33	6
27	34	34	6
27	35	35	6
27	36	36	6
27	37	37	6
27	38	38	6
27	39	39	6
27	40	40	6
27	41	41	6
27	42	42	6
27	43	43	6
27	44	44	6
27	45	45	6
27	46	46	6
27	47	47	5
27	48	48	5
27	49	49	5
27	50	50	5
27	51	51	5
27	52	52	5
27	53	53	5
27	54	54	3
27	55	55	3
27	56	56	3
27	57	57	3
27	58	58	3
27	59	59	3
27	60	60	3
27	61	61	3
27	62	62	3
27	63	63	2
27	64	64	2
27	65	65	2
27	66	66	2
27	67	67	2
27	68	68	2
27	69	69	3
27	70	70	3
27	71	71	3
27	72	72	3
27	73	73	3
27	74	74	3
27	75	75	3
27	76	76	3
27	77	77	4
27	78	78	4
27	79	79	4
27	80	80	4
27	81	81	4
27	82	82	4
27	83	83	4
27	84	84	4
27	85	85	4
27	86	86	4
27	87	87	4
27	88	88	4
27	89	89	4
27	90	90	4
27	91	91	3
27	92	92	3
27	93	93	3
27	94	94	3
28	95	1	4
28	96	2	4
28	97	3	4
28	98	4	4
28	99	5	4
28	100	6	4
28	101	7	4
28	102	8	4
28	103	9	4
28	104	10	4
28	105	11	4
28	106	12	4
28	107	13	4
28	108	14	4
28	109	15	4
28	110	16	4
28	111	17	4
28	112	18	4
28	113	19	4
28	114	20	4
28	115	21	4
28	116	22	4
28	117	23	4
28	118	24	4
28	119	25	4
28	120	26	4
28	121	27	4
28	122	28	4
28	123	29	4
28	124	30	4
28	125	31	4
28	126	32	4
28	127	33	4
28	128	34	4
28	129	35	4
28	130	36	4
28	131	37	4
28	132	38	4
28	133	39	4
28	134	40	4
28	135	41	4
28	136	42	4
28	137	43	4
28	138	44	4
28	139	45	4
28	140	46	4
28	141	47	4
28	142	48	4
28	143	49	4
28	144	50	4
28	145	51	4
28	146	52	4
28	147	53	4
28	148	54	4
28	149	55	4
28	150	56	4
28	151	57	4
28	152	58	4
28	153	59	4
28	154	60	4
28	155	61	4
28	156	62	4
28	157	63	4
28	158	64	4
28	159	65	4
28	160	66	4
28	161	67	4
28	162	68	4
28	163	69	4
28	164	70	4
28	165	71	4
28	166	72	4
28	167	73	4
28	168	74	4
28	169	75	4
28	170	76	4
28	171	77	4
28	172	78	4
28	173	79	4
28	174	80	4
29	175	1	4
29	176	2	4
29	177	3	4
29	178	4	4
29	179	5	4
29	180	6	4
29	181	7	4
29	182	8	4
29	183	9	4
29	184	10	4
29	185	11	4
29	186	12	4
29	187	13	4
29	188	14	4
29	189	15	4
29	190	16	4
29	191	17	4
29	192	18	4
29	193	19	4
29	194	20	4
29	195	21	4
29	196	22	4
29	197	23	4
29	198	24	4
29	199	25	4
29	200	26	4
29	201	27	4
29	202	28	4
29	203	29	4
29	204	30	4
29	205	31	4
29	206	32	4
29	207	33	4
29	208	34	4
