#circRNA_ID	junction_reads_ID
10:836403|885760	MISEQ:136:000000000-ACBC6:1:2104:22264:20424,MISEQ:136:000000000-ACBC6:1:2108:22925:17078,
10:1084403|1105267	MISEQ:136:000000000-ACBC6:1:2113:4814:6987,MISEQ:136:000000000-ACBC6:1:1107:14358:16312,MISEQ:136:000000000-ACBC6:1:1112:8587:3595,
10:5794885|5800705	MISEQ:136:000000000-ACBC6:1:2109:17773:3561,MISEQ:136:000000000-ACBC6:1:1108:27106:12205,
10:5903020|5924508	MISEQ:136:000000000-ACBC6:1:2115:22939:17087,MISEQ:136:000000000-ACBC6:1:1105:18657:11862,
10:7243558|7285954	MISEQ:136:000000000-ACBC6:1:1104:21806:13829,MISEQ:136:000000000-ACBC6:1:2104:28126:9091,MISEQ:136:000000000-ACBC6:1:1107:10128:2326,MISEQ:136:000000000-ACBC6:1:2112:13810:20449,MISEQ:136:000000000-ACBC6:1:1102:24768:8331,MISEQ:136:000000000-ACBC6:1:2114:5455:20444,MISEQ:136:000000000-ACBC6:1:2112:15454:23045,MISEQ:136:000000000-ACBC6:1:2118:5199:12221,MISEQ:136:000000000-ACBC6:1:1119:25062:22461,MISEQ:136:000000000-ACBC6:1:1104:12254:9711,
10:7276892|7285954	MISEQ:136:000000000-ACBC6:1:1112:13480:7382,MISEQ:136:000000000-ACBC6:1:2101:2413:13966,MISEQ:136:000000000-ACBC6:1:2106:19657:14219,MISEQ:136:000000000-ACBC6:1:2104:9564:8957,MISEQ:136:000000000-ACBC6:1:1109:15504:8548,MISEQ:136:000000000-ACBC6:1:2107:12675:23515,
10:7363878|7381949	MISEQ:136:000000000-ACBC6:1:1102:17444:12968,MISEQ:136:000000000-ACBC6:1:1110:14539:17201,MISEQ:136:000000000-ACBC6:1:1104:2472:12408,MISEQ:136:000000000-ACBC6:1:1105:12257:23088,
10:11979057|12014184	MISEQ:136:000000000-ACBC6:1:1108:19005:18074,MISEQ:136:000000000-ACBC6:1:1112:13414:23823,
10:11997672|12014184	MISEQ:136:000000000-ACBC6:1:2116:7793:8594,MISEQ:136:000000000-ACBC6:1:2114:6142:19435,MISEQ:136:000000000-ACBC6:1:2119:19066:16454,MISEQ:136:000000000-ACBC6:1:1118:11674:12753,MISEQ:136:000000000-ACBC6:1:1112:8782:2837,
10:12081472|12091684	MISEQ:136:000000000-ACBC6:1:1105:23087:8018,MISEQ:136:000000000-ACBC6:1:2115:26581:14697,MISEQ:136:000000000-ACBC6:1:2115:25867:12089,MISEQ:136:000000000-ACBC6:1:2118:16559:6357,MISEQ:136:000000000-ACBC6:1:2113:12209:20154,MISEQ:136:000000000-ACBC6:1:2119:17250:14370,
10:12081472|12094271	MISEQ:136:000000000-ACBC6:1:1119:7549:4033,MISEQ:136:000000000-ACBC6:1:1107:13944:15157,
10:12081472|12101181	MISEQ:136:000000000-ACBC6:1:2118:8077:17222,MISEQ:136:000000000-ACBC6:1:1116:22214:20143,
10:12081472|12113064	MISEQ:136:000000000-ACBC6:1:1101:7035:9199,MISEQ:136:000000000-ACBC6:1:1117:12271:7249,MISEQ:136:000000000-ACBC6:1:1108:24653:11046,
10:12081472|12120267	MISEQ:136:000000000-ACBC6:1:1108:17422:6050,MISEQ:136:000000000-ACBC6:1:2119:10819:21094,MISEQ:136:000000000-ACBC6:1:2103:9695:22123,MISEQ:136:000000000-ACBC6:1:2112:8561:20959,
10:12094073|12113064	MISEQ:136:000000000-ACBC6:1:2119:11612:6939,MISEQ:136:000000000-ACBC6:1:1118:27463:15830,
10:12094073|12120267	MISEQ:136:000000000-ACBC6:1:2111:18447:9940,MISEQ:136:000000000-ACBC6:1:2113:12491:15935,
10:12400016|12403369	MISEQ:136:000000000-ACBC6:1:2116:20208:20383,MISEQ:136:000000000-ACBC6:1:1113:28570:9777,
10:15816835|15847943	MISEQ:136:000000000-ACBC6:1:2119:4432:6178,MISEQ:136:000000000-ACBC6:1:1106:7066:6261,MISEQ:136:000000000-ACBC6:1:2111:9383:11224,MISEQ:136:000000000-ACBC6:1:1115:9558:11780,MISEQ:136:000000000-ACBC6:1:2113:9065:11087,
10:15821656|15847943	MISEQ:136:000000000-ACBC6:1:1109:19442:9906,MISEQ:136:000000000-ACBC6:1:1102:22298:15734,
10:15833630|15847943	MISEQ:136:000000000-ACBC6:1:1108:13985:21869,MISEQ:136:000000000-ACBC6:1:2109:28612:17035,MISEQ:136:000000000-ACBC6:1:2115:9684:8292,MISEQ:136:000000000-ACBC6:1:1109:21295:16258,MISEQ:136:000000000-ACBC6:1:2111:7465:21372,MISEQ:136:000000000-ACBC6:1:1104:7012:3856,
10:16484337|16486617	MISEQ:136:000000000-ACBC6:1:2119:20169:18679,MISEQ:136:000000000-ACBC6:1:1108:24582:4219,
10:21882282|21929141	MISEQ:136:000000000-ACBC6:1:1109:26186:15426,MISEQ:136:000000000-ACBC6:1:1111:13423:17465,MISEQ:136:000000000-ACBC6:1:1114:11240:19960,
10:27022558|27033377	MISEQ:136:000000000-ACBC6:1:2108:5740:5898,MISEQ:136:000000000-ACBC6:1:2113:24588:3649,MISEQ:136:000000000-ACBC6:1:2110:7801:16839,
10:27022558|27048979	MISEQ:136:000000000-ACBC6:1:2102:14798:4362,MISEQ:136:000000000-ACBC6:1:1109:21725:14138,MISEQ:136:000000000-ACBC6:1:2105:10070:17514,MISEQ:136:000000000-ACBC6:1:1113:2866:11262,
10:27037186|27048979	MISEQ:136:000000000-ACBC6:1:2101:4899:9710,MISEQ:136:000000000-ACBC6:1:1108:16113:17738,MISEQ:136:000000000-ACBC6:1:2107:17237:7825,
10:27907663|27944962	MISEQ:136:000000000-ACBC6:1:1106:11736:24740,MISEQ:136:000000000-ACBC6:1:2114:19515:20160,MISEQ:136:000000000-ACBC6:1:2118:16549:11060,
10:27935010|27985211	MISEQ:136:000000000-ACBC6:1:2103:15300:13320,MISEQ:136:000000000-ACBC6:1:2118:11503:6836,
10:29550597|29569312	MISEQ:136:000000000-ACBC6:1:2110:18682:9775,MISEQ:136:000000000-ACBC6:1:1106:10139:13771,
