sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
hek293_A_test	1:35358925-35361789	NM_005095	NM_005095	2	1	35358924	35359446	+	522	9	9	4	5
hek293_A_test	1:35358925-35361789	NM_005095	NM_005095	3	1	35361193	35361255	+	62	3	3	1	2
hek293_A_test	1:35358925-35361789	NM_005095	NM_005095	4	1	35361618	35361789	+	171	9	9	4	5
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	3	1	20749722	20749882	-	160	4	4	4	0
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	4	1	20757165	20757256	-	91	1	1	1	0
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	5	0	0	0	0	0	0	0	0	0
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	6	0	0	0	0	0	0	0	0	0
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	7	1	20770929	20771073	-	144	1	1	1	0
hek293_A_test	1:20749723-20773610	NM_016287	NM_016287	8	1	20773450	20773610	-	160	4	4	4	0
hek293_A_test	11:103303093-103323990	NM_018303	NR_073064,NM_001377,NM_001080463,NM_018303	6	6	549174	549291	-	117	2	2	0	2
hek293_A_test	11:103303093-103323990	NM_018303	NR_073064,NM_001377,NM_001080463,NM_018303	7	6	553853	553920	-	67	2	2	0	2
hek293_A_test	11:103303093-103323990	NM_018303	NR_073064,NM_001377,NM_001080463,NM_018303	8	6	555226	555288	-	62	2	2	0	2
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	1	13	50927406	50927478	+	72	4	4	2	2
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	2	13	50929474	50929582	+	108	1	1	1	0
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	3	13	50930682	50930759	+	77	1	1	1	0
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	4	0	0	0	0	0	0	0	0	0
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	5	0	0	0	0	0	0	0	0	0
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	6	13	50945426	50945532	+	106	2	2	1	1
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	7	13	50947986	50948068	+	82	3	3	1	2
hek293_A_test	13:50927407-50949505	NM_001142279	NM_001142279,NM_024570	8	13	50949462	50949505	+	43	4	4	2	2
hek293_A_test	14:21503173-21503881	NM_019852	NM_019852	8	14	21503172	21503577	-	405	6	6	2	4
hek293_A_test	14:21503173-21503881	NM_019852	NM_019852	9	14	21503663	21503881	-	218	6	6	2	4
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	22	17	67945408	67945896	+	488	6	6	3	3
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	23	0	0	0	0	0	0	0	0	0
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	24	0	0	0	0	0	0	0	0	0
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	25	0	0	0	0	0	0	0	0	0
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	26	0	0	0	0	0	0	0	0	0
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	27	0	0	0	0	0	0	0	0	0
hek293_A_test	17:67945409-67975958	NM_004459	NM_004459,NM_182641	28	17	67975771	67975958	+	187	6	6	3	3
hek293_A_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	3	14	99458278	99458535	-	257	36	39	19	20
hek293_A_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	4	0	0	0	0	0	0	0	0	0
hek293_A_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	5	14	99461191	99461340	-	149	3	3	1	2
hek293_A_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	6	14	99463485	99463578	-	93	26	26	16	10
hek293_A_test	14:99458279-99465813	NM_199123	NM_199123,NM_032233	7	14	99465702	99465813	-	111	36	39	19	20
