exon	relative_pos_in_circle	relative_pos_in_exon	coverage
1	1	1	12
1	2	2	12
1	3	3	12
1	4	4	12
1	5	5	12
1	6	6	12
1	7	7	12
1	8	8	12
1	9	9	12
1	10	10	12
1	11	11	12
1	12	12	12
1	13	13	12
1	14	14	12
1	15	15	12
1	16	16	12
1	17	17	12
1	18	18	12
1	19	19	12
1	20	20	12
1	21	21	12
1	22	22	12
1	23	23	12
1	24	24	12
1	25	25	12
1	26	26	12
1	27	27	12
1	28	28	12
1	29	29	12
1	30	30	12
1	31	31	12
1	32	32	12
1	33	33	12
1	34	34	12
1	35	35	12
1	36	36	12
1	37	37	12
1	38	38	12
1	39	39	12
1	40	40	12
1	41	41	12
1	42	42	12
1	43	43	12
1	44	44	12
1	45	45	12
1	46	46	12
1	47	47	12
1	48	48	12
1	49	49	12
1	50	50	12
1	51	51	12
1	52	52	12
1	53	53	12
1	54	54	12
1	55	55	12
1	56	56	12
1	57	57	12
1	58	58	12
1	59	59	12
1	60	60	12
1	61	61	12
1	62	62	12
1	63	63	12
1	64	64	12
1	65	65	11
1	66	66	11
1	67	67	11
1	68	68	11
1	69	69	11
1	70	70	11
1	71	71	11
1	72	72	11
1	73	73	11
1	74	74	11
1	75	75	11
1	76	76	11
1	77	77	11
1	78	78	11
1	79	79	11
1	80	80	11
1	81	81	11
1	82	82	11
1	83	83	11
1	84	84	11
1	85	85	11
1	86	86	11
1	87	87	11
1	88	88	11
1	89	89	11
1	90	90	11
1	91	91	11
1	92	92	11
1	93	93	11
1	94	94	11
1	95	95	11
1	96	96	11
1	97	97	11
1	98	98	11
1	99	99	11
1	100	100	11
1	101	101	11
1	102	102	11
1	103	103	11
1	104	104	11
1	105	105	11
1	106	106	11
1	107	107	10
1	108	108	10
1	109	109	10
1	110	110	10
1	111	111	10
1	112	112	9
1	113	113	9
1	114	114	9
1	115	115	8
1	116	116	8
1	117	117	7
1	118	118	7
1	119	119	7
1	120	120	7
1	121	121	7
1	122	122	7
1	123	123	7
1	124	124	7
1	125	125	7
1	126	126	7
1	127	127	7
1	128	128	7
1	129	129	7
1	130	130	7
1	131	131	7
1	132	132	7
1	133	133	7
1	134	134	7
1	135	135	7
1	136	136	7
1	137	137	7
1	138	138	7
1	139	139	7
1	140	140	7
1	141	141	7
1	142	142	7
1	143	143	7
1	144	144	7
1	145	145	7
1	146	146	7
1	147	147	7
1	148	148	7
1	149	149	7
1	150	150	7
1	151	151	7
1	152	152	7
1	153	153	7
1	154	154	7
1	155	155	5
1	156	156	5
1	157	157	6
1	158	158	6
1	159	159	6
1	160	160	6
1	161	161	6
1	162	162	6
1	163	163	6
1	164	164	6
1	165	165	6
1	166	166	6
1	167	167	6
1	168	168	6
1	169	169	5
1	170	170	5
1	171	171	5
1	172	172	5
1	173	173	5
1	174	174	5
1	175	175	5
1	176	176	5
1	177	177	3
1	178	178	3
1	179	179	3
1	180	180	3
1	181	181	3
1	182	182	3
1	183	183	3
1	184	184	3
1	185	185	3
1	186	186	3
1	187	187	1
1	188	188	1
1	189	189	1
1	190	190	1
1	191	191	1
1	192	192	1
1	193	193	1
1	194	194	1
1	195	195	1
1	196	196	1
1	197	197	1
1	198	198	1
1	199	199	1
1	200	200	1
1	201	201	1
1	202	202	1
1	203	203	1
1	204	204	1
1	205	205	1
1	206	206	1
1	207	207	1
1	208	208	1
1	209	209	1
1	210	210	1
1	211	211	1
1	212	212	1
1	213	213	1
1	214	214	1
1	215	215	1
1	216	216	1
1	217	217	1
1	218	218	1
1	219	219	1
1	220	220	1
1	221	221	1
1	222	222	1
1	223	223	2
1	224	224	2
1	225	225	2
1	226	226	2
1	227	227	2
1	228	228	2
1	229	229	2
1	230	230	2
1	231	231	2
1	232	232	2
1	233	233	2
1	234	234	2
1	235	235	2
1	236	236	3
1	237	237	3
1	238	238	3
1	239	239	3
1	240	240	3
1	241	241	3
1	242	242	3
1	243	243	3
1	244	244	3
1	245	245	3
1	246	246	3
1	247	247	3
1	248	248	3
1	249	249	3
1	250	250	3
1	251	251	3
1	252	252	3
1	253	253	3
1	254	254	3
1	255	255	3
1	256	256	3
1	257	257	3
1	258	258	3
1	259	259	3
1	260	260	3
1	261	261	3
1	262	262	3
1	263	263	3
1	264	264	3
1	265	265	3
1	266	266	3
1	267	267	3
1	268	268	3
1	269	269	3
1	270	270	3
1	271	271	3
1	272	272	3
1	273	273	3
1	274	274	3
1	275	275	3
1	276	276	3
1	277	277	3
1	278	278	3
1	279	279	3
1	280	280	3
1	281	281	3
1	282	282	3
1	283	283	3
1	284	284	3
1	285	285	3
1	286	286	3
1	287	287	3
1	288	288	3
1	289	289	3
1	290	290	3
1	291	291	3
1	292	292	3
1	293	293	3
1	294	294	3
1	295	295	3
1	296	296	3
1	297	297	3
1	298	298	3
1	299	299	3
1	300	300	3
1	301	301	3
1	302	302	3
1	303	303	3
1	304	304	3
1	305	305	3
1	306	306	3
1	307	307	3
1	308	308	3
1	309	309	3
1	310	310	3
1	311	311	3
1	312	312	3
1	313	313	3
1	314	314	3
1	315	315	3
1	316	316	3
1	317	317	3
1	318	318	3
1	319	319	3
1	320	320	3
1	321	321	3
1	322	322	3
1	323	323	3
1	324	324	3
1	325	325	3
1	326	326	3
1	327	327	3
1	328	328	3
1	329	329	3
1	330	330	3
1	331	331	3
1	332	332	3
1	333	333	3
1	334	334	3
1	335	335	3
1	336	336	3
1	337	337	3
1	338	338	3
1	339	339	3
1	340	340	3
1	341	341	3
1	342	342	3
1	343	343	3
1	344	344	3
1	345	345	3
1	346	346	3
1	347	347	3
1	348	348	3
1	349	349	3
1	350	350	3
1	351	351	3
1	352	352	3
1	353	353	3
1	354	354	3
1	355	355	3
1	356	356	3
