exon	relative_pos_in_circle	relative_pos_in_exon	coverage
18	1	1	7
18	2	2	7
18	3	3	7
18	4	4	7
18	5	5	7
18	6	6	7
18	7	7	7
18	8	8	7
18	9	9	7
18	10	10	7
18	11	11	7
18	12	12	7
18	13	13	7
18	14	14	7
18	15	15	7
18	16	16	7
18	17	17	7
18	18	18	7
18	19	19	7
18	20	20	7
18	21	21	7
18	22	22	7
18	23	23	7
18	24	24	7
18	25	25	7
18	26	26	7
18	27	27	7
18	28	28	7
18	29	29	7
18	30	30	7
18	31	31	7
18	32	32	7
18	33	33	7
18	34	34	7
18	35	35	7
18	36	36	7
18	37	37	7
18	38	38	7
18	39	39	7
18	40	40	7
18	41	41	7
18	42	42	7
18	43	43	7
18	44	44	7
18	45	45	7
18	46	46	7
18	47	47	7
18	48	48	7
18	49	49	7
18	50	50	7
18	51	51	5
18	52	52	5
18	53	53	5
18	54	54	5
18	55	55	5
18	56	56	5
18	57	57	5
18	58	58	5
18	59	59	5
18	60	60	5
18	61	61	5
18	62	62	5
18	63	63	4
18	64	64	4
18	65	65	4
18	66	66	4
18	67	67	4
18	68	68	4
18	69	69	4
18	70	70	4
18	71	71	4
18	72	72	4
18	73	73	3
18	74	74	3
18	75	75	3
18	76	76	3
18	77	77	3
18	78	78	3
18	79	79	3
18	80	80	3
18	81	81	3
18	82	82	3
18	83	83	2
18	84	84	2
18	85	85	2
18	86	86	2
18	87	87	2
18	88	88	2
18	89	89	2
18	90	90	2
18	91	91	1
18	92	92	1
18	93	93	1
18	94	94	1
18	95	95	1
18	96	96	1
18	97	97	1
18	98	98	1
18	99	99	1
18	100	100	1
18	101	101	1
18	102	102	1
18	103	103	1
18	104	104	1
18	105	105	1
18	106	106	1
18	107	107	1
18	108	108	1
18	109	109	1
18	110	110	1
18	111	111	1
18	112	112	1
18	113	113	1
18	114	114	1
18	115	115	1
18	116	116	1
18	117	117	1
18	118	118	1
18	119	119	1
18	120	120	1
18	121	121	1
18	122	122	1
18	123	123	1
18	124	124	1
18	125	125	1
18	126	126	1
18	127	127	1
18	128	128	1
18	129	129	1
18	130	130	1
18	131	131	1
18	132	132	1
18	133	133	1
18	134	134	1
18	135	135	1
18	136	136	1
18	137	137	1
18	138	138	1
18	139	139	1
18	140	140	1
18	141	141	1
18	142	142	1
18	143	143	1
18	144	144	1
18	145	145	1
18	146	146	1
18	147	147	1
18	148	148	1
18	149	149	1
18	150	150	1
18	151	151	1
18	152	152	1
18	153	153	1
18	154	154	1
18	155	155	1
18	156	156	1
18	157	157	1
19	158	1	1
19	159	2	1
19	160	3	1
19	161	4	1
19	162	5	1
19	163	6	1
19	164	7	1
19	165	8	1
19	166	9	1
19	167	10	1
19	168	11	1
19	169	12	1
19	170	13	1
19	171	14	1
19	172	15	1
19	173	16	1
19	174	17	1
19	175	18	1
19	176	19	1
19	177	20	1
19	178	21	1
19	179	22	1
19	180	23	1
19	181	24	1
19	182	25	1
19	183	26	1
19	184	27	1
19	185	28	1
19	186	29	1
19	187	30	1
19	188	31	1
19	189	32	1
19	190	33	1
19	191	34	1
19	192	35	1
19	193	36	1
19	194	37	1
19	195	38	1
19	196	39	1
19	197	40	1
19	198	41	1
19	199	42	1
19	200	43	1
19	201	44	1
19	202	45	1
19	203	46	1
19	204	47	1
19	205	48	1
19	206	49	1
19	207	50	1
19	208	51	1
19	209	52	1
19	210	53	1
19	211	54	0
19	212	55	0
19	213	56	0
19	214	57	0
19	215	58	0
19	216	59	0
19	217	60	0
19	218	61	0
19	219	62	0
19	220	63	0
19	221	64	0
19	222	65	0
19	223	66	0
19	224	67	0
19	225	68	0
19	226	69	0
19	227	70	0
19	228	71	0
19	229	72	0
19	230	73	0
19	231	74	0
20	232	1	0
20	233	2	0
20	234	3	2
20	235	4	2
20	236	5	2
20	237	6	2
20	238	7	2
20	239	8	2
20	240	9	2
20	241	10	2
20	242	11	2
20	243	12	2
20	244	13	2
20	245	14	2
20	246	15	3
20	247	16	3
20	248	17	3
20	249	18	3
20	250	19	3
20	251	20	3
20	252	21	3
20	253	22	3
20	254	23	3
20	255	24	3
20	256	25	4
20	257	26	4
20	258	27	4
20	259	28	4
20	260	29	4
20	261	30	4
20	262	31	4
20	263	32	4
20	264	33	4
20	265	34	4
20	266	35	5
20	267	36	5
20	268	37	5
20	269	38	5
20	270	39	5
20	271	40	5
20	272	41	5
20	273	42	5
20	274	43	6
20	275	44	6
20	276	45	6
20	277	46	6
20	278	47	6
20	279	48	6
20	280	49	6
20	281	50	6
20	282	51	6
20	283	52	6
20	284	53	6
20	285	54	6
20	286	55	6
20	287	56	6
20	288	57	6
20	289	58	6
20	290	59	6
20	291	60	6
20	292	61	6
20	293	62	6
20	294	63	6
20	295	64	6
20	296	65	6
20	297	66	6
20	298	67	6
20	299	68	6
20	300	69	6
20	301	70	6
20	302	71	6
20	303	72	6
20	304	73	6
20	305	74	6
20	306	75	6
20	307	76	6
20	308	77	6
20	309	78	6
20	310	79	6
20	311	80	6
20	312	81	6
20	313	82	6
20	314	83	6
20	315	84	6
20	316	85	6
20	317	86	6
20	318	87	6
20	319	88	6
20	320	89	6
20	321	90	6
20	322	91	6
20	323	92	6
20	324	93	6
20	325	94	6
20	326	95	6
20	327	96	6
20	328	97	6
20	329	98	6
20	330	99	6
20	331	100	6
20	332	101	6
20	333	102	6
20	334	103	6
20	335	104	6
20	336	105	6
20	337	106	6
20	338	107	6
20	339	108	6
20	340	109	6
20	341	110	6
20	342	111	6
20	343	112	6
20	344	113	6
20	345	114	6
20	346	115	6
20	347	116	6
20	348	117	6
20	349	118	6
20	350	119	6
20	351	120	6
20	352	121	6
20	353	122	6
20	354	123	6
20	355	124	6
20	356	125	6
20	357	126	6
20	358	127	6
20	359	128	6
20	360	129	6
20	361	130	6
20	362	131	6
20	363	132	6
20	364	133	6
20	365	134	6
20	366	135	6
20	367	136	6
20	368	137	6
20	369	138	6
20	370	139	6
20	371	140	6
20	372	141	6
20	373	142	6
20	374	143	6
20	375	144	6
20	376	145	6
20	377	146	6
20	378	147	6
20	379	148	6
20	380	149	6
20	381	150	6
20	382	151	6
20	383	152	6
20	384	153	6
20	385	154	6
20	386	155	6
20	387	156	6
20	388	157	6
20	389	158	6
20	390	159	6
20	391	160	6
20	392	161	6
20	393	162	6
20	394	163	7
20	395	164	7
20	396	165	7
20	397	166	7
20	398	167	7
20	399	168	7
20	400	169	7
20	401	170	7
20	402	171	7
20	403	172	7
20	404	173	7
20	405	174	7
20	406	175	7
20	407	176	7
20	408	177	7
20	409	178	7
20	410	179	7
20	411	180	7
20	412	181	7
20	413	182	7
20	414	183	7
20	415	184	7
20	416	185	7
20	417	186	7
20	418	187	7
20	419	188	7
20	420	189	7
20	421	190	7
20	422	191	7
20	423	192	7
20	424	193	7
20	425	194	7
20	426	195	7
20	427	196	7
20	428	197	7
20	429	198	7
20	430	199	7
20	431	200	7
20	432	201	7
