exon	relative_pos_in_circle	relative_pos_in_exon	coverage
3	1	1	17
3	2	2	17
3	3	3	17
3	4	4	17
3	5	5	17
3	6	6	17
3	7	7	17
3	8	8	17
3	9	9	17
3	10	10	17
3	11	11	17
3	12	12	17
3	13	13	17
3	14	14	17
3	15	15	17
3	16	16	17
3	17	17	17
3	18	18	17
3	19	19	17
3	20	20	17
3	21	21	17
3	22	22	17
3	23	23	17
3	24	24	16
3	25	25	16
3	26	26	16
3	27	27	16
3	28	28	16
3	29	29	16
3	30	30	16
3	31	31	16
3	32	32	16
3	33	33	16
3	34	34	14
3	35	35	14
3	36	36	12
3	37	37	12
3	38	38	12
3	39	39	12
3	40	40	12
3	41	41	12
3	42	42	12
3	43	43	12
3	44	44	12
3	45	45	12
3	46	46	12
3	47	47	12
3	48	48	12
3	49	49	12
3	50	50	12
3	51	51	13
3	52	52	11
3	53	53	9
3	54	54	9
3	55	55	9
3	56	56	9
3	57	57	9
3	58	58	9
3	59	59	7
3	60	60	7
3	61	61	7
3	62	62	7
3	63	63	7
3	64	64	7
3	65	65	5
3	66	66	5
3	67	67	5
3	68	68	5
3	69	69	5
3	70	70	5
3	71	71	5
3	72	72	5
3	73	73	5
3	74	74	3
3	75	75	3
3	76	76	3
3	77	77	3
3	78	78	3
3	79	79	3
3	80	80	3
3	81	81	3
3	82	82	3
3	83	83	3
3	84	84	3
3	85	85	3
3	86	86	3
3	87	87	3
3	88	88	3
3	89	89	3
3	90	90	3
3	91	91	3
3	92	92	3
3	93	93	3
3	94	94	3
3	95	95	3
3	96	96	3
3	97	97	3
3	98	98	3
3	99	99	3
3	100	100	3
3	101	101	3
3	102	102	3
3	103	103	3
3	104	104	3
3	105	105	3
3	106	106	3
3	107	107	3
3	108	108	3
3	109	109	3
3	110	110	3
3	111	111	3
3	112	112	3
3	113	113	3
3	114	114	3
3	115	115	3
3	116	116	3
3	117	117	3
3	118	118	3
3	119	119	3
3	120	120	3
3	121	121	3
3	122	122	3
3	123	123	3
3	124	124	3
3	125	125	3
3	126	126	3
3	127	127	3
3	128	128	3
3	129	129	3
3	130	130	3
3	131	131	3
3	132	132	3
3	133	133	3
3	134	134	3
3	135	135	3
3	136	136	3
3	137	137	3
3	138	138	3
3	139	139	2
3	140	140	2
3	141	141	2
3	142	142	2
3	143	143	2
3	144	144	2
3	145	145	2
3	146	146	2
3	147	147	2
3	148	148	2
3	149	149	2
3	150	150	2
3	151	151	2
3	152	152	2
3	153	153	2
4	154	1	1
4	155	2	1
4	156	3	1
4	157	4	1
4	158	5	1
4	159	6	1
4	160	7	1
4	161	8	1
4	162	9	1
4	163	10	1
4	164	11	1
4	165	12	1
4	166	13	1
4	167	14	1
4	168	15	1
4	169	16	1
4	170	17	1
4	171	18	1
4	172	19	1
4	173	20	1
4	174	21	1
4	175	22	1
4	176	23	1
4	177	24	1
4	178	25	1
4	179	26	1
4	180	27	1
4	181	28	1
4	182	29	1
4	183	30	1
4	184	31	1
4	185	32	1
4	186	33	1
4	187	34	1
4	188	35	1
4	189	36	1
4	190	37	1
4	191	38	1
4	192	39	1
4	193	40	1
4	194	41	1
4	195	42	1
4	196	43	1
4	197	44	1
4	198	45	1
4	199	46	1
4	200	47	1
4	201	48	1
4	202	49	1
4	203	50	1
4	204	51	1
4	205	52	1
4	206	53	1
4	207	54	1
4	208	55	1
4	209	56	1
