exon	relative_pos_in_circle	relative_pos_in_exon	coverage
3	1	1	33
3	2	2	33
3	3	3	33
3	4	4	33
3	5	5	33
3	6	6	33
3	7	7	33
3	8	8	33
3	9	9	33
3	10	10	33
3	11	11	33
3	12	12	33
3	13	13	33
3	14	14	33
3	15	15	33
3	16	16	33
3	17	17	33
3	18	18	33
3	19	19	32
3	20	20	32
3	21	21	32
3	22	22	32
3	23	23	32
3	24	24	32
3	25	25	32
3	26	26	32
3	27	27	32
3	28	28	32
3	29	29	32
3	30	30	32
3	31	31	32
3	32	32	32
3	33	33	32
3	34	34	32
3	35	35	32
3	36	36	32
3	37	37	32
3	38	38	32
3	39	39	32
3	40	40	32
3	41	41	32
3	42	42	32
3	43	43	32
3	44	44	32
3	45	45	32
3	46	46	32
3	47	47	32
3	48	48	32
3	49	49	32
3	50	50	32
3	51	51	32
3	52	52	32
3	53	53	32
3	54	54	32
3	55	55	32
3	56	56	32
3	57	57	32
3	58	58	32
3	59	59	32
3	60	60	31
3	61	61	29
3	62	62	29
3	63	63	28
3	64	64	28
3	65	65	28
3	66	66	28
3	67	67	28
3	68	68	28
3	69	69	28
3	70	70	28
3	71	71	28
3	72	72	28
3	73	73	28
3	74	74	27
3	75	75	27
3	76	76	27
3	77	77	27
3	78	78	25
3	79	79	25
3	80	80	25
3	81	81	25
3	82	82	25
3	83	83	25
3	84	84	25
3	85	85	25
3	86	86	25
3	87	87	25
3	88	88	25
3	89	89	25
3	90	90	25
3	91	91	24
3	92	92	24
3	93	93	24
3	94	94	24
3	95	95	22
3	96	96	22
3	97	97	22
3	98	98	22
3	99	99	22
3	100	100	21
3	101	101	20
3	102	102	20
3	103	103	20
3	104	104	20
3	105	105	20
3	106	106	19
3	107	107	18
3	108	108	18
3	109	109	18
3	110	110	18
3	111	111	18
3	112	112	18
3	113	113	18
3	114	114	18
3	115	115	18
3	116	116	18
3	117	117	18
3	118	118	18
3	119	119	18
3	120	120	18
3	121	121	18
3	122	122	18
3	123	123	18
3	124	124	18
3	125	125	18
3	126	126	18
3	127	127	18
3	128	128	18
3	129	129	17
3	130	130	17
3	131	131	17
3	132	132	17
3	133	133	17
3	134	134	17
3	135	135	17
3	136	136	17
3	137	137	17
3	138	138	16
3	139	139	16
3	140	140	16
3	141	141	16
3	142	142	16
3	143	143	15
3	144	144	15
3	145	145	15
3	146	146	15
3	147	147	15
3	148	148	15
3	149	149	15
3	150	150	15
3	151	151	15
3	152	152	14
3	153	153	14
4	154	1	10
4	155	2	10
4	156	3	10
4	157	4	10
4	158	5	10
4	159	6	10
4	160	7	10
4	161	8	10
4	162	9	10
4	163	10	10
4	164	11	10
4	165	12	10
4	166	13	10
4	167	14	10
4	168	15	10
4	169	16	10
4	170	17	10
4	171	18	10
4	172	19	10
4	173	20	10
4	174	21	10
4	175	22	10
4	176	23	10
4	177	24	10
4	178	25	10
4	179	26	10
4	180	27	10
4	181	28	10
4	182	29	10
4	183	30	10
4	184	31	10
4	185	32	10
4	186	33	10
4	187	34	10
4	188	35	9
4	189	36	8
4	190	37	8
4	191	38	8
4	192	39	8
4	193	40	8
4	194	41	8
4	195	42	8
4	196	43	8
4	197	44	7
4	198	45	7
4	199	46	7
4	200	47	5
4	201	48	5
4	202	49	5
4	203	50	4
4	204	51	3
4	205	52	3
4	206	53	2
4	207	54	2
4	208	55	2
4	209	56	2
4	210	57	2
4	211	58	1
4	212	59	1
4	213	60	1
4	214	61	1
4	215	62	0
4	216	63	0
4	217	64	0
4	218	65	0
4	219	66	0
4	220	67	0
4	221	68	0
4	222	69	0
4	223	70	0
4	224	71	0
4	225	72	0
4	226	73	0
4	227	74	0
4	228	75	0
4	229	76	0
4	230	77	0
4	231	78	0
4	232	79	0
4	233	80	0
4	234	81	0
4	235	82	0
4	236	83	0
4	237	84	0
4	238	85	0
4	239	86	0
4	240	87	0
4	241	88	0
4	242	89	0
4	243	90	0
4	244	91	0
4	245	92	0
4	246	93	0
4	247	94	0
4	248	95	0
4	249	96	0
4	250	97	0
4	251	98	0
4	252	99	0
4	253	100	0
4	254	101	0
4	255	102	0
4	256	103	0
4	257	104	0
4	258	105	0
4	259	106	0
4	260	107	0
4	261	108	0
4	262	109	0
4	263	110	0
4	264	111	0
4	265	112	0
4	266	113	0
4	267	114	0
4	268	115	0
4	269	116	0
4	270	117	0
4	271	118	0
4	272	119	0
4	273	120	0
4	274	121	0
4	275	122	0
4	276	123	0
4	277	124	0
4	278	125	0
4	279	126	0
4	280	127	0
4	281	128	0
4	282	129	0
4	283	130	0
4	284	131	0
4	285	132	0
4	286	133	0
4	287	134	0
4	288	135	0
4	289	136	0
4	290	137	0
4	291	138	0
4	292	139	0
4	293	140	0
4	294	141	0
4	295	142	0
4	296	143	0
4	297	144	0
4	298	145	0
4	299	146	0
4	300	147	0
4	301	148	0
4	302	149	0
5	303	0	0
5	304	1	0
5	305	2	0
5	306	3	0
5	307	4	0
5	308	5	0
5	309	6	0
5	310	7	0
5	311	8	0
5	312	9	0
5	313	10	0
5	314	11	0
5	315	12	0
5	316	13	0
5	317	14	0
5	318	15	0
5	319	16	0
5	320	17	0
5	321	18	0
5	322	19	0
5	323	20	0
5	324	21	0
5	325	22	0
5	326	23	0
5	327	24	0
5	328	25	0
5	329	26	0
5	330	27	0
5	331	28	0
5	332	29	0
5	333	30	0
5	334	31	0
5	335	32	0
5	336	33	0
5	337	34	0
5	338	35	0
5	339	36	0
5	340	37	0
5	341	38	0
5	342	39	0
5	343	40	0
5	344	41	0
5	345	42	0
5	346	43	0
5	347	44	0
5	348	45	0
5	349	46	0
5	350	47	0
5	351	48	0
5	352	49	0
6	353	0	0
6	354	1	0
6	355	2	0
6	356	3	0
6	357	4	0
6	358	5	0
6	359	6	0
6	360	7	0
6	361	8	0
6	362	9	0
6	363	10	0
6	364	11	0
6	365	12	0
6	366	13	0
6	367	14	0
6	368	15	0
6	369	16	0
6	370	17	0
6	371	18	0
6	372	19	0
6	373	20	0
6	374	21	0
6	375	22	0
6	376	23	0
6	377	24	0
6	378	25	0
6	379	26	0
6	380	27	0
6	381	28	0
6	382	29	0
6	383	30	0
6	384	31	0
6	385	32	0
6	386	33	0
6	387	34	0
6	388	35	0
6	389	36	0
6	390	37	0
6	391	38	0
6	392	39	0
6	393	40	0
6	394	41	0
6	395	42	0
6	396	43	0
6	397	44	0
6	398	45	0
6	399	46	0
6	400	47	0
6	401	48	0
6	402	49	0
7	403	0	0
7	404	1	0
7	405	2	0
7	406	3	0
7	407	4	0
7	408	5	0
7	409	6	0
7	410	7	0
7	411	8	0
7	412	9	0
7	413	10	0
7	414	11	0
7	415	12	0
7	416	13	0
7	417	14	0
7	418	15	0
7	419	16	0
7	420	17	0
7	421	18	0
7	422	19	0
7	423	20	0
7	424	21	0
7	425	22	0
7	426	23	0
